# Palabras de cinco letras
ABETO|Conífera navideña
ABRIL|Cuarto mes del año
ABUSO|Uso excesivo e injusto
ACEDO|De sabor agrio
ACERA|Zona del peatón
ACERO|Metal de las espadas
ACTOR|Trabaja en las películas
ACUDE|Va al llamamiento
ADIOS|Fórmula de despedida
ADOBE|Bloque de barro y paja
AGENDA|Libro de citas
AGUDO|De punta muy fina
AHORA|En el instante presente
AIRES|Vientos suaves
AJENO|Que pertenece a otro
ALADO|Que tiene alas
ALBUM|Colección de fotos
ALDEA|Poblado diminuto
ALERO|Borde saliente del tejado
ALGAS|Plantas del mar
ALTAR|Mesa del templo
ALTAS|De gran estatura
ALUMNO|Estudiante de un colegio
AMARGO|Sabor del acíbar
AMBOS|El uno y el otro
AMIGO|Persona de confianza
AMPLIO|De gran anchura
ANCHO|De mucha amplitud
ANCLA|Hierro que fondea el barco
ANDAR|Ir dando pasos
ANDEN|Plataforma de la estación
ANGEL|Espíritu celestial
ANIMO|Aliento para seguir
ANTES|Con anterioridad
ARABE|Habitante de Arabia
ARADO|Apero que abre surcos
ARDER|Estar en llamas
AREAS|Superficies medidas
ARENA|Granos de la playa
ARETE|Pendiente de la oreja
ARMAS|Instrumentos de guerra
AROMA|Fragancia agradable
ARPON|Lanza de pesca marina
ARROZ|Grano del risotto
ARTES|Disciplinas de la belleza
ASADO|Guisado al fuego
ASEAR|Lavar y arreglar
ASILO|Casa de acogida
ASNOS|Bestias de carga tercas
ASPID|Serpiente venenosa de Egipto
ATLAS|Titán que sostiene el mundo
ATUNES|Peces grandes de la almadraba
AUDAZ|Que se atreve a todo
AULAS|Salas de enseñanza
AUTOR|Quien escribe el libro
AVARO|Que no suelta un euro
AVENA|Cereal del desayuno
AVION|Aeronave de pasajeros
AVISO|Advertencia previa
AYUDA|Mano que se echa
AZUFRE|Elemento de olor a huevo podrido
BACHE|Socavón del firme
BAILE|Danza en pareja
BAJAR|Descender de nivel
BALSA|Almadía de troncos
BANDA|Grupo de música
BARCA|Embarcación menor
BARCO|Nave de gran porte
BARON|Señor con título
BARRO|Tierra mojada
BASES|Fundamentos de algo
BEBER|Tomar líquido
BELLO|De gran hermosura
BESAR|Juntar los labios
BILIS|Humor amargo del hígado
BLUSA|Camisa de señora
BOINA|Gorra plana vasca
BOLSA|Saco para llevar cosas
BOMBA|Artefacto que estalla
BOSQUE|Masa de árboles
BOTAS|Calzado de montaña
BOTON|Cierra la camisa
BOXEO|Pugilato con guantes
BRAVO|Fiero y valiente
BRAZO|Miembro que termina en mano
BREVE|Que dura poco
BRISA|Vientecillo del mar
BRUJA|Mujer de la escoba
BRUTO|Torpe y violento
BUCEO|Natación bajo el agua
BUENO|De buena calidad
BUHOS|Aves nocturnas
BUQUE|Navío de carga
BURLA|Mofa hacia otro
BURRO|Bestia de carga
BUZON|Recibe las cartas
CABLE|Hilo de acero o cobre
CABRA|Rumiante montaraz
CACAO|Polvo del chocolate
CAIDA|Golpe contra el suelo
CAJAS|Envases con tapa
CALAR|Penetrar el agua
CALDO|Sopa de la olla
CALLE|Vía urbana
CALMA|Quietud del mar
CALOR|Lo contrario del frío
CAMPO|Terreno de labranza
CANAL|Conducto del agua
CANAS|Cabellos blancos
CANTO|Melodía de la voz
CANON|Pieza de artillería
CAOBA|Madera noble tropical
