# Vocabulario general: palabras que empiezan por A
ABAD|Superior de un monasterio
ABADIA|Casa del abad y sus monjes
ABAJO|En la parte inferior
ABANICO|Se abre para dar aire
ABEDUL|Árbol de corteza blanca
ABEJA|Insecto que fabrica miel
ABEJORRO|Insecto peludo y zumbón
ABERTURA|Hendidura por donde entra el aire
ABETO|Árbol típico de la Navidad
ABIERTO|Sin cerrar
ABISMO|Profundidad enorme
ABOGADO|Defiende al acusado
ABONO|Fertiliza la tierra
ABORDAR|Subir a un barco al asalto
ABRAZO|Apretón de cariño
ABRIGO|Prenda contra el frío
ABRIL|Mes de las lluvias
ABRIR|Quitar el cierre
ABSURDO|Contrario a la razón
ABUELA|Madre de tu madre
ABUELO|Padre de tu padre
ABULIA|Falta total de voluntad
ABUNDAR|Haber en gran cantidad
ABURRIDO|Que causa tedio
ABUSO|Exceso injusto
ACABAR|Llegar al final
ACACIA|Árbol de flores en racimo
ACANTO|Hoja tallada en el capitel corintio
ACASO|Tal vez, quizá
ACCESO|Entrada a un lugar
ACCION|Hecho, movimiento
ACEITE|Grasa líquida de la oliva
ACEITUNA|Fruto verde del olivar
ACELGA|Verdura de penca blanca
ACENTO|Rayita sobre la vocal tónica
ACEPTAR|Decir que sí
ACEQUIA|Canal de riego en la huerta
ACERA|Anda por ella el peatón
ACERO|Aleación de hierro y carbono
ACERTAR|Dar en el blanco
ACIDO|De sabor como el limón
ACLARAR|Poner en claro
ACNE|Granos de la adolescencia
ACOGER|Recibir en casa
ACORDE|Varias notas a la vez
ACOSO|Persecución insistente
ACROBATA|Artista de saltos en el circo
ACTA|Documento de una reunión
ACTITUD|Disposición ante algo
ACTIVO|Que se mueve y trabaja
ACTOR|Interpreta un papel
ACTRIZ|Intérprete femenina
ACUARIO|Pecera grande y decorada
ACUDIR|Ir adonde a uno le llaman
ACUERDO|Pacto entre dos partes
ACUSAR|Señalar al culpable
ADAGIO|Tiempo musical pausado
ADARGA|Escudo ovalado de cuero
ADELANTE|Hacia la parte de delante
ADEMAN|Gesto con las manos
ADEMAS|Por si fuera poco
ADENTRO|Hacia la parte interior
ADIOS|Palabra de despedida
ADIVINO|Predice el porvenir
ADJETIVO|Palabra que califica al nombre
ADMIRAR|Contemplar con asombro
ADOBE|Ladrillo de barro secado al sol
ADORAR|Amar con devoción
ADORNO|Detalle que embellece
ADUANA|Control fronterizo de mercancías
ADULTO|Persona mayor de edad
ADVERBIO|Modifica al verbo
AEREO|Relativo al aire
AEROBIC|Gimnasia con música
AFAN|Empeño grande en algo
AFECTO|Cariño sincero
AFEITAR|Cortar la barba a ras
AFICION|Gusto por un pasatiempo
AFILAR|Sacar punta al cuchillo
AFINAR|Poner el piano a tono
AFIRMAR|Decir que es verdad
AFONIA|Pérdida de la voz
AFRICA|Continente del Sáhara
AGATA|Piedra de bandas de colores
AGENDA|Libreta de citas
AGENTE|Miembro de la policía
AGIL|Que se mueve con soltura
AGITAR|Mover con fuerza el frasco
AGOSTO|Mes de las vacaciones
AGRADO|Gusto o complacencia
AGRIO|De sabor ácido y áspero
AGUA|Líquido incoloro e insípido
AGUACATE|Fruto verde y cremoso
AGUANTAR|Soportar con paciencia
AGUDO|De sonido muy alto
AGUILA|Rapaz de vista penetrante
