# Vocabulario general: palabras que empiezan por C
CABALLERO|Señor de buenos modales
CABALLO|Animal de silla y montura
CABANA|Casita rústica de madera
CABECERA|Parte alta de la cama
CABELLO|Pelo de la cabeza
CABEZA|Parte superior del cuerpo
CABINA|Habitáculo del piloto
CABLE|Hilo conductor de electricidad
CABO|Punta de tierra en el mar
CABRA|Da leche para el queso
CABRERO|Pastor de cabras
CACAHUETE|Fruto seco de cáscara blanda
CACAO|Semilla del chocolate
CACEROLA|Olla de dos asas
CACHALOTE|Cetáceo de cabeza enorme
CACHARRO|Trasto viejo e inútil
CACHIPORRA|Palo grueso con bola
CACHORRO|Cría del perro
CACIQUE|Jefe indio o mandamás local
CACTUS|Planta con espinas del desierto
CADA|Distribuye uno por uno
CADAVER|Cuerpo sin vida
CADENA|Serie de eslabones
CADERA|Hueso ancho del costado
CADETE|Alumno de academia militar
CAFE|Bebida negra que despierta
CAFETERA|Prepara el café
CAIDA|Descenso brusco al suelo
CAIMAN|Cocodrilo americano
CAJA|Recipiente con tapa
CAJERO|Atiende en la ventanilla
CAJON|Compartimento del mueble
CAL|Polvo blanco para encalar
CALABAZA|Hortaliza naranja de Halloween
CALABOZO|Celda oscura de la cárcel
CALAMAR|Molusco de diez brazos
CALAMBRE|Contracción dolorosa del músculo
CALAMIDAD|Desgracia muy grande
CALAVERA|Cráneo sin carne
CALCETIN|Cubre el pie dentro del zapato
CALCIO|Mineral de los huesos
CALCULO|Operación con números
CALDERA|Produce el agua caliente
CALDERO|Recipiente de metal con asa
CALDO|Sopa clara de cocido
CALEFACCION|Sistema que caldea la casa
CALENDARIO|Muestra los días del año
CALENTAR|Subir la temperatura
CALIDAD|Grado de bondad de algo
CALIENTE|De temperatura alta
CALIFA|Soberano musulmán
CALIGRAFIA|Arte de escribir bien
CALIZ|Copa de la misa
CALLADO|Que no dice nada
CALLE|Vía entre casas
CALLEJON|Calle estrecha sin salida
CALMA|Tranquilidad total
CALOR|Sensación del verano
CALUMNIA|Acusación falsa
CALVICIE|Falta de pelo
CALZADA|Parte de la calle por donde van los coches
CALZADO|Zapatos y botas
CALZONCILLO|Ropa interior masculina
CAMA|Mueble para dormir
CAMALEON|Reptil que cambia de color
CAMARA|Toma fotografías
CAMARERO|Sirve las mesas
CAMAROTE|Dormitorio del barco
CAMBIO|Paso de un estado a otro
CAMELLO|Animal de dos jorobas
CAMILLA|Traslada al herido
CAMINO|Vía de tierra entre campos
CAMION|Vehículo de gran carga
CAMISA|Prenda de botones y cuello
CAMISETA|Prenda de manga corta
CAMPANA|Suena en la torre
CAMPAMENTO|Lugar de tiendas de campaña
CAMPEON|Vencedor de la liga
CAMPO|Terreno fuera de la ciudad
CANAL|Cauce artificial de agua
CANARIO|Pájaro amarillo cantor
CANASTA|Cesto grande de mimbre
CANCELA|Verja de la entrada
CANCION|Pieza de música con letra
CANCHA|Terreno de juego
CANDADO|Cierra con llave la verja
CANDELA|Vela de cera encendida
CANELA|Especia en rama de olor dulce
CANGREJO|Crustáceo que anda de lado
CANGURO|Marsupial saltarín australiano
CANICA|Bolita de cristal de jugar
CANON|Regla o modelo a seguir
CANOA|Embarcación estrecha de remo
CANSANCIO|Falta de fuerzas
CANTANTE|Artista que interpreta canciones
CANTARO|Vasija grande de barro
CANTERA|De donde se saca la piedra
CANTIDAD|Número de cosas
CANTIMPLORA|Botella del excursionista
CANTINA|Bar de la estación
CANTO|Borde de una moneda
CANA|Pelo blanco
CANADA|Paso entre dos montañas
CANAMO|Fibra vegetal de cuerdas
CANON|Pieza pesada de artillería
CANAVERAL|Plantío de cañas
CAOBA|Madera roja tropical
CAOS|Desorden total
CAPA|Prenda suelta sin mangas
CAPACIDAD|Cabida de un recipiente
CAPATAZ|Manda a los obreros
CAPILLA|Iglesia muy pequeña
CAPITAL|Ciudad principal de un país
CAPITAN|Manda el barco
CAPITULO|División de un libro
CAPOTE|Prenda del torero
CAPRICHO|Deseo pasajero y antojadizo
CAPSULA|Envoltura del medicamento
CAPUCHA|Cubre la cabeza del abrigo
CARA|Rostro de la persona
CARACOL|Molusco de concha en espiral
CARACTER|Modo de ser de alguien
CARAMELO|Golosina dura y dulce
CARAVANA|Fila de coches en la carretera
CARBON|Mineral negro que arde
CARCAJADA|Risa muy sonora
CARCEL|Prisión de reclusos
CARDENAL|Prelado de púrpura
CARDO|Planta espinosa comestible
CARENCIA|Falta de algo necesario
CARETA|Máscara del rostro
CARGA|Peso que se transporta
CARGO|Puesto de responsabilidad
CARICIA|Roce suave y cariñoso
CARIDAD|Virtud de socorrer al pobre
CARIES|Picadura del diente
CARINO|Afecto que se siente
CARNAVAL|Fiesta de disfraces
CARNE|Alimento del animal
CARNICERO|Vende chuletas y filetes
CARO|De precio elevado
CARPA|Pez de agua dulce
CARPETA|Guarda los documentos
CARPINTERO|Trabaja la madera
CARRERA|Competición de velocidad
CARRETA|Carro de dos ruedas
CARRETERA|Vía asfaltada entre ciudades
CARRETILLA|Carro de una rueda para obra
CARRIL|Banda de circulación
CARRO|Vehículo tirado por bestias
CARTA|Escrito que se envía por correo
CARTEL|Anuncio pegado en la pared
CARTERA|Guarda el dinero y el carné
CARTERO|Reparte el correo
CARTON|Papel grueso y rígido
CARTUCHO|Munición del fusil
CASA|Vivienda familiar
CASCADA|Salto de agua del río
CASCARA|Cubierta del huevo
CASCO|Protege la cabeza del motorista
CASETA|Construcción pequeña de feria
CASINO|Local de juego
CASO|Suceso que se estudia
CASTANA|Fruto del erizo del otoño
CASTIGO|Pena impuesta por la falta
CASTILLO|Fortaleza medieval
CASUALIDAD|Coincidencia inesperada
CATALOGO|Lista ordenada de artículos
CATARATA|Gran salto de agua
CATARRO|Resfriado con mocos
CATASTROFE|Desastre enorme
CATEDRA|Plaza del profesor titular
CATEDRAL|Templo del obispo
CATEGORIA|Clase o nivel
CATOLICO|Fiel de la Iglesia de Roma
CATORCE|Dos veces siete
CAUCE|Lecho por donde corre el río
CAUCHO|Material elástico del neumático
CAUDAL|Cantidad de agua que lleva el río
CAUSA|Motivo de un efecto
CAUTELA|Prudencia ante el peligro
CAUTIVO|Preso del enemigo
CAVERNA|Cueva grande y profunda
CAVIAR|Huevas negras del esturión
CAZA|Persecución de animales salvajes
CAZADOR|Sale al monte con escopeta
CAZO|Recipiente con mango largo
CEBADA|Cereal de la cerveza
CEBOLLA|Bulbo que hace llorar
CEBRA|Équido africano de rayas
CEBO|Atrae al pez al anzuelo
CEDER|Dar paso al otro
CEDRO|Árbol de madera olorosa
CEGUERA|Pérdida de la vista
CEJA|Pelo sobre el ojo
CELDA|Habitación del monje
CELEBRE|Muy conocido y famoso
CELO|Cinta adhesiva transparente
CELOS|Recelo de perder al amado
CELTA|Pueblo antiguo de Europa
CELULA|Unidad mínima de vida
CEMENTERIO|Recinto de las tumbas
CEMENTO|Polvo gris del hormigón
CENA|Última comida del día
CENIZA|Polvo gris que deja el fuego
CENTENARIO|Cien años de un suceso
CENTIMETRO|Centésima parte del metro
CENTINELA|Soldado de guardia
CENTRO|Punto medio de la circunferencia
CEPILLO|Sirve para el pelo y los dientes
CERAMICA|Arte del barro cocido
CERCA|A poca distancia
CERDO|Animal del jamón
CEREAL|Trigo, avena o cebada
CEREBRO|Órgano del pensamiento
CEREMONIA|Acto solemne
CEREZA|Fruta roja con rabito
CERILLA|Fósforo que enciende
CERO|Ausencia de cantidad
CERRADURA|Donde entra la llave
CERROJO|Barra que cierra la puerta
CERTEZA|Seguridad total sobre algo
CERVEZA|Bebida rubia con espuma
CESPED|Hierba corta del jardín
CESTA|Recipiente de mimbre con asa
CHABOLA|Vivienda muy pobre
CHACAL|Cánido carroñero africano
CHALECO|Prenda sin mangas
CHALET|Casa con jardín
CHAMPAN|Espumoso francés de celebración
CHAMPU|Lava el cabello
CHANCLA|Calzado de playa
CHAPA|Lámina fina de metal
CHAPARRON|Lluvia fuerte y breve
CHAQUETA|Prenda de abrigo con botones
CHARCO|Agua estancada en el suelo
CHARLA|Conversación distendida
CHATARRA|Restos de metal viejo
CHEQUE|Orden de pago al banco
CHICLE|Goma de mascar
CHICO|De poco tamaño
CHILE|País andino de Santiago
CHIMENEA|Por ella sale el humo
CHINCHE|Insecto que pica en la cama
CHINO|Natural de Pekín
CHIRINGUITO|Bar de playa
CHISME|Habladuría sobre otros
CHISPA|Pequeña descarga luminosa
CHISTE|Cuento que hace reír
CHOCOLATE|Dulce marrón del cacao
CHOFER|Conductor del coche de otro
CHOPO|Álamo negro de ribera
CHOQUE|Colisión entre dos cuerpos
CHORIZO|Embutido rojo de cerdo
CHORRO|Salida fuerte de líquido
CHOZA|Cabaña de ramas
CHULETA|Costilla con carne
CHUPETE|Calma al bebé
CHURRO|Masa frita del desayuno
CIBERNETICA|Ciencia del control automático
CICATRIZ|Señal que deja la herida
CICLISTA|Corredor de bicicleta
CICLON|Viento huracanado giratorio
CIEGO|Privado de la vista
CIELO|Bóveda azul sobre nosotros
CIEN|Diez veces diez
CIENCIA|Conjunto de saberes probados
CIERVO|Rumiante de cuerna ramificada
CIFRA|Signo de un número
CIGARRO|Rollo de tabaco
CIGUENA|Ave de pico largo y rojo
CILINDRO|Cuerpo de bases circulares
CIMA|Punto más alto del monte
CIMIENTO|Base del edificio
CINCEL|Talla la piedra a golpes
CINCO|Dedos de una mano
CINE|Sala de proyección
CINTA|Tira estrecha de tela
CINTURA|Parte estrecha del talle
CINTURON|Sujeta el pantalón
CIPRES|Árbol alto y estrecho del cementerio
CIRCO|Espectáculo de payasos
CIRCUITO|Recorrido cerrado de carreras
CIRCULO|Figura perfectamente redonda
CIRUELA|Fruta morada y jugosa
CIRUGIA|Operación en el quirófano
CIRUJANO|Médico que opera
CISNE|Ave blanca de cuello largo
CISTERNA|Depósito de agua
CITA|Encuentro acordado
CIUDAD|Población grande
CIVIL|No militar
CLARIDAD|Luz que deja ver
CLARINETE|Instrumento de viento con lengüeta
CLARO|Lo contrario de oscuro
CLASE|Aula donde se enseña
CLASICO|De estilo tradicional
