# Vocabulario general: palabras que empiezan por E
EBANISTA|Carpintero de muebles finos
EBANO|Madera negra y dura
EBRIO|Que ha bebido de más
ECLIPSE|Ocultación del Sol por la Luna
ECONOMIA|Administración de los recursos
ECUADOR|Línea que parte la Tierra en dos
EDAD|Años cumplidos
EDICION|Tirada de un libro
EDIFICIO|Construcción de varias plantas
EDITOR|Publica libros
EDUCACION|Formación de la persona
EFECTO|Consecuencia de una causa
EFICAZ|Que logra lo que busca
EGIPTO|País de las pirámides
EGOISTA|Solo piensa en sí mismo
EJE|Barra central de la rueda
EJEMPLO|Caso que ilustra algo
EJERCICIO|Práctica que se repite
EJERCITO|Conjunto de las tropas
ELASTICO|Que se estira y recupera
ELEFANTE|Paquidermo de trompa
ELEGANTE|De buen gusto en el vestir
ELEMENTO|Parte de un conjunto
ELOGIO|Alabanza que se dedica
EMBAJADA|Sede diplomática
EMBALSE|Pantano artificial
EMBARAZO|Estado de la futura madre
EMBARCACION|Barco de cualquier tipo
EMBLEMA|Símbolo que representa
EMBOSCADA|Ataque desde el escondite
EMBUDO|Ayuda a llenar la botella
EMBUSTE|Mentira que se cuenta
EMIGRANTE|Deja su país por trabajo
EMISORA|Estación de radio
EMOCION|Alteración del ánimo
EMPACHO|Indigestión por comer mucho
EMPANADA|Masa rellena al horno
EMPEDRADO|Calle con piedras
EMPEINE|Parte alta del pie
EMPENO|Constancia en el objetivo
EMPERADOR|Soberano de un imperio
EMPLEO|Puesto de trabajo
EMPRESA|Sociedad de negocios
EMPUJON|Golpe para apartar
ENANO|De muy baja estatura
ENCAJE|Labor calada de hilo
ENCANTO|Atractivo que cautiva
ENCERADO|Pizarra del aula
ENCIA|Carne que sujeta los dientes
ENCINA|Árbol de las bellotas
ENCUENTRO|Reunión casual de dos
ENEMIGO|Contrario en la guerra
ENERGIA|Capacidad de hacer trabajo
ENERO|Mes que abre el año
ENFADO|Molestia con alguien
ENFERMO|Falto de salud
ENGANO|Falta de verdad
ENIGMA|Misterio por resolver
ENJAMBRE|Grupo de abejas en vuelo
ENLACE|Unión entre dos cosas
ENOJO|Irritación del ánimo
ENSALADA|Plato frío de lechuga
ENSAYO|Prueba antes del estreno
ENSENANZA|Transmisión del saber
ENTIERRO|Sepelio del difunto
ENTRADA|Billete del espectáculo
ENTREGA|Acto de dar algo
ENTUSIASMO|Ánimo exaltado y alegre
ENVASE|Recipiente del producto
ENVIDIA|Pesar por el bien ajeno
ENVIO|Paquete que se manda
EPIDEMIA|Enfermedad que se extiende
EPILOGO|Parte final del libro
EPISODIO|Capítulo de una serie
EPOCA|Periodo histórico
EQUILIBRIO|Estabilidad sin caerse
EQUIPAJE|Maletas del viajero
EQUIPO|Grupo que juega unido
ERIZO|Animal cubierto de púas
ERMITA|Capilla en el campo
ERROR|Equivocación cometida
ERUPCION|Salida de lava del volcán
ESCALA|Serie de notas musicales
ESCALERA|Sirve para subir pisos
ESCANDALO|Alboroto que indigna
ESCAPARATE|Vitrina de la tienda
ESCARCHA|Rocío helado de la mañana
ESCASEZ|Falta de lo necesario
ESCENA|Parte de un acto teatral
ESCLAVO|Persona sin libertad
ESCOBA|Instrumento de barrer
ESCOLTA|Acompaña y protege
ESCOMBRO|Resto de una demolición
ESCORPION|Arácnido de aguijón
ESCRITOR|Autor de novelas
ESCUDO|Defiende del golpe
ESCUELA|Centro de primeras letras
ESCULTURA|Obra tallada en piedra
ESFERA|Cuerpo perfectamente redondo
ESFUERZO|Empleo de la fuerza
ESGRIMA|Deporte del florete
ESLABON|Anilla de la cadena
ESMALTE|Barniz de las uñas
ESMERALDA|Piedra preciosa verde
ESPACIO|Lugar entre los astros
ESPADA|Arma blanca larga
ESPALDA|Parte trasera del tronco
