# Vocabulario general: palabras que empiezan por F
FABADA|Guiso asturiano de alubias
FABRICA|Nave donde se produce
FABULA|Cuento con moraleja
FACHADA|Cara principal del edificio
FACIL|Que no cuesta esfuerzo
FACTOR|Elemento de un producto
FACTURA|Papel del importe a pagar
FACULTAD|Centro universitario
FAENA|Trabajo del campo
FAISAN|Ave de caza de cola larga
FAJA|Banda ceñida al cuerpo
FALDA|Prenda que cae de la cintura
FALLO|Sentencia del juez
FALSO|Contrario a la verdad
FALTA|Infracción en el partido
FAMA|Renombre público
FAMILIA|Padres e hijos
FANAL|Farol grande del puerto
FANGO|Lodo del pantano
FANTASMA|Aparición de un muerto
FARDO|Bulto grande y atado
FARINGE|Conducto tras la boca
FARMACIA|Despacha medicinas
FARO|Guía a los navegantes
FAROLA|Luz de la vía pública
FARSA|Engaño teatral
FASE|Etapa de un proceso
FATIGA|Cansancio muy grande
FAUNA|Conjunto de los animales
FAVOR|Servicio que se hace
FAZ|Cara de una persona
FEBRERO|Mes más corto
FECHA|Día del mes
FELICIDAD|Estado de dicha plena
FELINO|De la familia del gato
FEMENINO|Propio de la mujer
FENOMENO|Hecho observable
FEO|De rostro poco agraciado
FERIA|Mercado anual con fiesta
FERROCARRIL|Transporte sobre raíles
FERTIL|Que produce mucho fruto
FERVOR|Devoción encendida
FESTIN|Banquete abundante
FESTIVAL|Certamen de música
FETO|Ser en el vientre materno
FIANZA|Depósito que garantiza
FIBRA|Hebra del tejido
FICCION|Historia inventada
FICHA|Pieza del dominó
FIDELIDAD|Lealtad constante
FIDEO|Pasta fina para la sopa
FIEBRE|Subida de la temperatura
FIEL|Leal a los suyos
FIERA|Animal salvaje y feroz
FIESTA|Día de celebración
FIGURA|Forma exterior de algo
FILA|Hilera de sillas
FILETE|Loncha gruesa de carne
FILIAL|Sucursal de una empresa
FILOSOFIA|Amor a la sabiduría
FILTRO|Retiene las impurezas
FIN|Término de la obra
FINAL|Último encuentro del torneo
FINANZAS|Manejo del dinero
FINCA|Propiedad rústica
FINO|Delicado y delgado
FIRMA|Nombre escrito al pie
FIRMEZA|Solidez que no cede
FISCAL|Acusa en el juicio
FISICA|Ciencia de la materia y la energía
FLACO|De pocas carnes
FLAMENCO|Ave rosada de patas largas
FLAN|Postre que tiembla
FLAUTA|Instrumento de viento con agujeros
FLECHA|Proyectil del arco
FLECO|Adorno de hilos colgantes
FLEMA|Calma excesiva ante todo
FLEQUILLO|Pelo sobre la frente
FLETE|Precio del transporte
FLEXIBLE|Que se dobla sin romperse
FLOR|Parte olorosa de la planta
FLORERO|Jarrón del ramo
FLORISTA|Vende ramos y plantas
FLOTA|Conjunto de naves
FLUIDO|Líquido o gas
FOCA|Mamífero de los hielos
FOCO|Lámpara de gran potencia
FOGATA|Hoguera al aire libre
FOGON|Hornillo de la cocina
FOLIO|Hoja de papel
FOLLAJE|Conjunto de hojas
FOLLETO|Impreso de pocas páginas
FONDA|Casa de comidas modesta
FONDO|Parte más honda
FONTANERO|Arregla las tuberías
FORASTERO|Venido de fuera
FORMA|Figura de un cuerpo
FORMULA|Expresión con símbolos
FORO|Debate público
FORRO|Tela interior de la chaqueta
FORTALEZA|Recinto militar amurallado
