# Vocabulario general: palabras que empiezan por G
GABAN|Abrigo de paño
GABARDINA|Prenda impermeable
GABARRA|Barcaza de carga del puerto
GABINETE|Conjunto de ministros
GACELA|Antílope veloz y grácil
GACETA|Publicación oficial
GAFAS|Lentes graduadas
GAITA|Instrumento gallego de fuelle
GAJO|Cada parte de la naranja
GALA|Acto solemne de etiqueta
GALAN|Actor que hace de enamorado
GALAXIA|Conjunto inmenso de estrellas
GALEON|Nave española de América
GALERA|Nave antigua de remos
GALERIA|Pasillo largo con ventanas
GALES|País de Cardiff
GALGO|Perro muy veloz
GALLETA|Dulce seco y crujiente
GALLINA|Ave que pone huevos
GALLO|Canta al amanecer
GALON|Distintivo militar de la manga
GALOPE|Carrera del caballo
GAMA|Escala de colores
GAMBA|Crustáceo rosado de mesa
GAMO|Ciervo de cuerna aplanada
GAMUZA|Paño suave de limpiar
GANADO|Reses de una finca
GANANCIA|Beneficio obtenido
GANCHO|Hierro curvo para colgar
GANGA|Compra muy barata
GANGRENA|Muerte del tejido
GANSO|Ave grande de corral
GARABATO|Trazo sin sentido
GARAJE|Guarda el coche
GARANTIA|Documento que respalda
GARBANZO|Legumbre del cocido
GARBO|Gracia al andar
GARFIO|Gancho de hierro del pirata
GARGANTA|Parte interna del cuello
GARITA|Casilla del vigilante
GARLOPA|Cepillo grande de carpintero
GARRA|Uña fuerte y curva
GARRAFA|Botellón de vidrio
GARRAPATA|Parásito que se pega a la piel
GARROTE|Palo grueso y corto
GARZA|Ave zancuda de río
GAS|Estado de la materia sin forma
GASA|Tela muy fina de vendaje
GASOLINA|Carburante del coche
GASTO|Salida de dinero
GATILLO|Se aprieta para disparar
GATO|Ronronea en el sofá
GAVETA|Cajón pequeño del escritorio
GAVILAN|Ave rapaz pequeña
GAVIOTA|Ave blanca del puerto
GEISER|Chorro de agua caliente natural
GEL|Producto de la ducha
GELATINA|Postre que tiembla
GEMA|Piedra fina y tallada
GEMELO|Hermano nacido a la vez
GEMIDO|Quejido de dolor
GENDARME|Policía francés
GENERAL|Militar de alta graduación
GENERO|Clase o tipo de algo
GENEROSIDAD|Virtud de dar sin pedir
GENIO|Talento extraordinario
GENTE|Conjunto de personas
GENTIO|Multitud reunida
GEOGRAFIA|Ciencia de la Tierra
GEOLOGIA|Estudio de las rocas
GEOMETRIA|Matemática de las figuras
GERANIO|Flor de balcón
GERENTE|Dirige la empresa
GERMEN|Origen de una cosa
GESTO|Movimiento de la cara
GIGANTE|De estatura enorme
GIMNASIA|Ejercicio físico ordenado
GIMNASIO|Sala de aparatos y pesas
GIRA|Viaje de conciertos
GIRASOL|Flor que mira al astro rey
GIRO|Vuelta completa
GITANO|Pueblo nómada de Andalucía
GLACIAR|Río de hielo de montaña
GLADIADOR|Luchador del circo romano
GLANDULA|Órgano que segrega
GLOBO|Bola inflada de aire
GLORIA|Fama muy grande
GLOSARIO|Lista de términos explicados
GLOTON|Que come demasiado
GLUCOSA|Azúcar de la sangre
GNOMO|Duende barbudo del bosque
GOBERNANTE|Quien manda en el país
GOBIERNO|Conjunto de ministros
GOL|Punto en el fútbol
GOLFO|Entrada grande de mar
GOLONDRINA|Ave que anuncia la primavera
GOLOSINA|Dulce que gusta a los niños
GOLPE|Encontronazo brusco
GOMA|Material elástico que borra
GONDOLA|Barca típica veneciana
GORDO|De mucho peso
GORILA|Simio grande y fuerte
GORRA|Prenda de cabeza con visera
GORRION|Pajarillo pardo de ciudad
GOTA|Porción mínima de líquido
GOTERA|Filtración de agua del techo
GOZO|Alegría del alma
GRABADO|Estampa hecha con plancha
GRACIA|Donaire que hace reír
GRADA|Escalón del estadio
GRADO|Nivel o categoría
GRAFICO|Dibujo con datos
GRAMO|Milésima parte del kilo
GRANADA|Fruta de granos rojos
GRANDE|De mucho tamaño
GRANEL|Sin envasar, suelto
GRANERO|Almacén del trigo
GRANITO|Roca dura de las montañas
GRANIZO|Bolas de hielo que caen
GRANJA|Casa de labor con animales
GRANO|Semilla del cereal
GRAPA|Sujeta los folios
GRASA|Materia untuosa
GRATITUD|Reconocimiento del favor
GRAVEDAD|Fuerza que atrae al suelo
GRIETA|Raja en la pared
GRIFO|Llave del agua
GRILLETE|Argolla del preso
GRILLO|Insecto que canta de noche
GRIPE|Enfermedad del invierno
GRIS|Mezcla de blanco y negro
GRITO|Voz muy fuerte
GROSELLA|Baya roja y ácida
GROSOR|Espesor de un cuerpo
GRUA|Levanta cargas pesadas
GRUESO|De mucho espesor
GRULLA|Ave zancuda migratoria
GRUMO|Bolita en la salsa
GRUNIDO|Sonido del cerdo
GRUPO|Conjunto de personas o cosas
GRUTA|Cueva natural
GUADANA|Herramienta de segar
GUANTE|Prenda de las manos
GUAPO|De buen ver
GUARDA|Vigila la finca
GUARIDA|Refugio de la fiera
GUARNICION|Acompañamiento del plato
GUERRA|Conflicto armado
GUERRILLA|Grupo armado irregular
GUIA|Libro de rutas
GUIJARRO|Piedrecilla redonda del río
GUINDA|Cereza ácida del licor
GUIRNALDA|Adorno de flores en tira
GUISANTE|Legumbre verde y redonda
GUISO|Comida cocinada con salsa
GUITARRA|Instrumento de seis cuerdas
GULA|Pecado del comer
GUSANO|Larva que se arrastra
GUSTO|Sabor que se percibe
GABARRO|Defecto oculto de una cosa
GACHAS|Papilla de harina
GALANTE|Atento con las damas
GALARDON|Premio a un mérito
GALIMATIAS|Lenguaje confuso
GALLARDIA|Gracia y valentía
GALLEGO|Natural de Santiago
GALLINERO|Corral de las aves
GALOPAR|Correr el caballo a saltos
GALVANIZAR|Cubrir de cinc el hierro
GAMBERRO|Que arma alboroto
GANADERO|Cría reses
GANAR|Obtener la victoria
GANDUL|Que huye del trabajo
GANGOSO|Que habla por la nariz
GARABATEAR|Escribir sin cuidado
GARANTIZAR|Dar seguridad de algo
GARBEO|Paseo corto
GARGAJO|Flema que se escupe
GARGANTILLA|Collar corto y ceñido
GARGARA|Enjuague de la garganta
GARRAPINADA|Almendra bañada en azúcar
GARRUCHA|Polea pequeña
GASEOSA|Refresco con burbujas
GASODUCTO|Tubería del gas natural
GASOLINERA|Estación de servicio
GASTAR|Emplear el dinero
GASTRONOMIA|Arte del buen comer
GATEAR|Andar a cuatro patas
GATUNO|Propio del felino casero
GAZAPO|Cría del conejo
GAZNATE|Garganta, en coloquial
GAZPACHO|Sopa fría andaluza
GEMIR|Quejarse con voz doliente
GENEALOGIA|Estudio de los antepasados
GENERALIZAR|Extender a todos los casos
GENERAR|Producir o crear
GENEROSO|Que da sin esperar nada
GENETICA|Ciencia de la herencia
GENIAL|De gran ingenio
GENOCIDIO|Exterminio de un pueblo
GENTIL|Amable y cortés
GENUINO|Auténtico y puro
GERMANO|Natural de Alemania
GERMINAR|Brotar la semilla
GERUNDIO|Forma verbal terminada en ando
GESTA|Hazaña memorable
GESTIONAR|Hacer los trámites
GESTICULAR|Hacer muchos gestos
GIBA|Joroba del camello
GIGANTESCO|De tamaño descomunal
GIMOTEAR|Llorar sin ganas
GIRAR|Dar vueltas
GLACIAL|Extremadamente frío
GLOBAL|Que afecta a todo el planeta
GLORIETA|Plaza redonda con jardín
GLORIFICAR|Ensalzar a alguien
GLOSAR|Comentar un texto
GOBERNAR|Dirigir un país
GOLEAR|Marcar muchos tantos
GOLETA|Velero ligero de dos palos
GOLFEAR|Andar de juerga
GOLOSO|Aficionado a los dulces
GOLPEAR|Dar golpes repetidos
GOMINA|Fija el peinado
GORDURA|Exceso de peso
GORGORITO|Quiebro agudo de la voz
GORRON|Vive a costa de otros
GOTEAR|Caer gota a gota
GOZAR|Disfrutar de algo
GRABAR|Registrar el sonido
GRACIOSO|Que tiene gracia
GRADUAL|Poco a poco
GRADUAR|Ajustar la medida
GRAFITO|Mina del lápiz
GRAMATICA|Reglas de la lengua
GRANADINO|Natural de la Alhambra
GRANAR|Formarse el grano
GRANDEZA|Cualidad de lo magnífico
GRANJERO|Trabaja en la granja
GRANULO|Grano muy pequeño
GRAPADORA|Une hojas con grapas
GRATIFICAR|Recompensar con dinero
GRATUITO|Que no cuesta nada
GRAVAR|Imponer un impuesto
GRAVILLA|Piedra menuda del firme
GRAZNIDO|Voz del cuervo
GREMIO|Asociación de un oficio
GRENA|Pelo revuelto y enredado
GRIEGO|Natural de Atenas
GRITAR|Levantar mucho la voz
GROSERO|Falto de educación
GROTESCO|Ridículo y extravagante
GRUNIR|Emitir sonidos de enfado
GUADALAJARA|Capital castellana del Henares
GUANTAZO|Bofetada fuerte
GUARDAR|Poner a buen recaudo
GUARDERIA|Cuida a los niños pequeños
GUARDIA|Miembro del cuerpo de orden
GUARECER|Dar refugio
GUARNECER|Poner adorno a un plato
GUASA|Burla sin malicia
GUATEMALA|País centroamericano
GUERRERO|Combatiente antiguo
GUIAR|Conducir por el camino
GUINAR|Cerrar un ojo
GUINDILLA|Pimiento pequeño y picante
GUINO|Cierre rápido de un ojo
GUION|Texto de la película
GUIPUZCOA|Provincia de San Sebastián
GUISAR|Preparar la comida
GUITARRISTA|Toca las seis cuerdas
GURU|Maestro espiritual hindú
GUSTAR|Agradar al paladar
GUTURAL|Sonido que sale de la garganta
GALAICO|Relativo a Galicia
GALERADA|Prueba de imprenta
GALICISMO|Palabra tomada del francés
GALLARDO|Apuesto y valiente
GALLINAZA|Estiércol de las aves
GAMBERRADA|Acto de vandalismo
GANADERIA|Cría de reses
GANCHILLO|Labor de aguja curva
GANGLIO|Nódulo del sistema linfático
GARAPINAR|Bañar en almíbar
GARANTE|Quien responde por otro
GARGANTUA|Gigante comilón de Rabelais
GARRAPINAR|Cubrir de azúcar tostado
GASIFICAR|Convertir en gas
GAVILLA|Haz de mies
GAZMONO|Que finge devoción
GELIDO|Helado y frío
GENERACION|Conjunto de coetáneos
GENITAL|Relativo a la reproducción
GENOMA|Conjunto de los genes
GENTILICIO|Nombre del natural de un lugar
GEOMETRICO|De formas regulares
GERMINACION|Nacimiento de la planta
GESTACION|Tiempo del embarazo
GESTOR|Tramita papeles ajenos
GIGANTON|Figura enorme de las fiestas
GIRALDA|Torre famosa de Sevilla
GIRATORIO|Que da vueltas
GLADIOLO|Flor alta de tallo recto
GLOTIS|Abertura de la laringe
GLUTEN|Proteína del trigo
GOBERNADOR|Autoridad de una provincia
GOLFILLO|Chaval callejero
GOLPETEO|Serie de golpes seguidos
GONDOLERO|Rema de pie en Venecia
GORDINFLON|De gordura considerable
GORGOJO|Insecto que ataca al grano
GOTERON|Gota muy grande
GRABADOR|Artista que hace estampas
GRADERIO|Conjunto de las gradas
GRAFIA|Modo de escribir una palabra
GRAFOLOGIA|Estudio de la escritura
GRAJO|Ave negra parecida al cuervo
GRANADERO|Soldado de gran estatura
GRANDIOSO|Imponente por su tamaño
GRANIZADA|Caída fuerte de granizo
GRANULADO|En forma de granos
GRATINAR|Dorar al horno con queso
GRAVAMEN|Carga que pesa sobre un bien
GRAVITAR|Atraer por la gravedad
GREGARIO|Ciclista que ayuda al líder
GRESCA|Riña con mucho ruido
GRIETEAR|Abrir hendiduras
GRIMA|Desazón que produce algo
GRINGO|Extranjero, en América
GRUPA|Ancas del caballo
GRUMETE|Aprendiz de marinero
GUACAMOLE|Salsa mexicana de aguacate
GUADANAR|Segar con guadaña
GUARDABOSQUE|Vigila el monte
GUARDAESPALDAS|Protege a un personaje
GUARDAMETA|Portero del equipo
GUARDARROPA|Armario de los abrigos
GUARISMO|Signo de un número
GUARRO|Sucio y desaseado
GUASON|Que va siempre de broma
GUATEQUE|Fiesta casera con baile
GUBERNAMENTAL|Del gobierno
GUERRILLERO|Combatiente irregular
GUILLOTINA|Máquina de cortar cabezas
GUIRIGAY|Griterío confuso
GUISANTAL|Campo sembrado de legumbre verde
GUSANERA|Sitio lleno de larvas
GUSTOSO|Que se hace de buena gana
