# Vocabulario general: palabras con H y con I
HABA|Legumbre de vaina ancha
HABANO|Puro de Cuba
HABITANTE|Vecino de una ciudad
HABITO|Costumbre muy arraigada
HACHA|Corta leña de un golpe
HACIENDA|Finca grande de campo
HADA|Ser mágico de los cuentos
HALAGO|Palabra que agrada
HALCON|Ave de cetrería
HALL|Vestíbulo de un hotel
HAMACA|Red colgante para tumbarse
HAMBRE|Necesidad de comer
HAMBURGUESA|Carne picada entre panes
HANGAR|Cobertizo de los aviones
HARINA|Polvo del cereal molido
HAREN|Estancia de las mujeres del sultán
HARTAZGO|Exceso de comida
HASTIO|Aburrimiento profundo
HAZANA|Acción heroica
HEBILLA|Cierre del cinturón
HEBRA|Hilo de coser
HEBREO|Lengua de Israel
HECHIZO|Encantamiento de la bruja
HECHO|Suceso que ocurre
HECTAREA|Diez mil metros cuadrados
HEDOR|Olor muy desagradable
HELADERIA|Local de los cucuruchos
HELADO|Postre frío de verano
HELECHO|Planta de hoja en penacho
HELICE|Gira y mueve el barco
HELICOPTERO|Vuela con aspas
HEMBRA|Animal de sexo femenino
HEMISFERIO|Mitad de la esfera terrestre
HEMORRAGIA|Pérdida abundante de sangre
HENO|Forraje seco
HEPATITIS|Inflamación del hígado
HERALDO|Mensajero antiguo
HERBOLARIO|Tienda de plantas medicinales
HEREDERO|Recibe los bienes del difunto
HEREJE|Contrario al dogma
HERENCIA|Bienes que se reciben
HERIDA|Rotura de la piel
HERMANO|Hijo de los mismos padres
HERMITA|Capilla solitaria del campo
HEROE|Protagonista valiente
HERRADURA|Hierro del casco del caballo
HERRAMIENTA|Utensilio de trabajo
HERRERO|Trabaja el hierro al fuego
HERVIDOR|Calienta el agua
HIDALGO|Noble de sangre castellana
HIEDRA|Trepadora de hoja perenne
HIEL|Bilis amarga
HIELO|Agua congelada
HIENA|Carroñera de risa siniestra
HIERBA|Planta verde y menuda
HIERRO|Metal del imán
HIGADO|Glándula que depura la sangre
HIGIENE|Limpieza del cuerpo
HIGO|Fruto dulce de la higuera
HIGUERA|Árbol de las brevas
HIJASTRO|Hijo del cónyuge
HILERA|Fila ordenada
HILO|Hebra fina y larga
HIMNO|Canto solemne de un país
HINCHA|Seguidor de un club
HIPO|Contracción involuntaria del diafragma
HIPODROMO|Pista de carreras de caballos
HIPOPOTAMO|Gran mamífero del río africano
HIPOTECA|Préstamo sobre la vivienda
HISTORIA|Relato del pasado
HOCICO|Morro del animal
HOGAR|Casa de la familia
HOGUERA|Fuego al aire libre
HOJA|Lámina verde del árbol
HOLANDA|País de los tulipanes
HOLGURA|Espacio de sobra
HOLLIN|Negro que deja el humo
HOMBRE|Ser humano varón
HOMBRO|Une el brazo al tronco
HOMENAJE|Acto en honor de alguien
HONDA|Tira que lanza piedras
HONESTIDAD|Rectitud de conducta
HONGO|Vegetal sin clorofila
HONOR|Buena reputación
HORA|Sexagésima parte del día
