# Vocabulario general: palabras que empiezan por M
MACARRON|Pasta corta y hueca
MACETA|Tiesto de las plantas
MACHETE|Cuchillo grande de monte
MACHO|Animal de sexo masculino
MADEJA|Ovillo de lana sin devanar
MADERA|Materia del tronco
MADRASTRA|Esposa del padre
MADRE|Mujer que tiene un hijo
MADRID|Capital de España
MADRIGUERA|Cueva del conejo
MADRINA|Acompaña en el bautizo
MADRUGADA|Horas antes del alba
MAESTRO|Enseña en la escuela
MAGIA|Arte de los ilusionistas
MAGNETISMO|Fuerza de los imanes
MAGO|Hace desaparecer objetos
MAIZ|Cereal de granos amarillos
MAJESTAD|Tratamiento del rey
MALDAD|Inclinación al mal
MALECON|Muro junto al mar
MALETA|Equipaje del viajero
MALLA|Tejido de red
MALVA|Color entre morado y rosa
MAMA|Glándula del pecho
MAMIFERO|Animal que cría con leche
MAMUT|Elefante peludo extinto
MANADA|Grupo de animales juntos
MANANTIAL|Nacimiento del agua
MANCHA|Señal de suciedad
MANDATO|Orden que se da
MANDIBULA|Hueso de la quijada
MANDIL|Delantal de trabajo
MANDO|Autoridad para dirigir
MANECILLA|Aguja del reloj
MANEJO|Uso de un aparato
MANERA|Modo de hacer algo
MANGA|Parte de la camisa del brazo
MANGO|Parte por donde se agarra
MANGUERA|Tubo flexible del agua
MANIA|Costumbre obsesiva
MANIQUI|Figura que viste la ropa
MANJAR|Alimento exquisito
MANO|Extremo del brazo
MANOJO|Puñado de hierbas
MANSION|Casa grande y lujosa
MANTA|Cobija de la cama
MANTECA|Grasa del cerdo
MANTEL|Cubre la mesa al comer
MANTEQUILLA|Grasa de la leche
MANUAL|Libro de instrucciones
MANZANA|Fruta del árbol del paraíso
MAPA|Representación del territorio
MAQUINA|Aparato con mecanismo
MAR|Gran masa de agua salada
MARATON|Carrera de larga distancia
MARCA|Señal que distingue
MARCHA|Paso ordenado de tropas
MARCO|Encierra el cuadro
MAREA|Movimiento periódico del mar
MAREO|Sensación de vértigo
MARFIL|Material del colmillo del elefante
MARGARITA|Flor blanca de centro amarillo
MARGEN|Borde de la página
MARIDO|Esposo de la mujer
MARINERO|Trabaja en el barco
MARIPOSA|Insecto de alas de colores
MARISCO|Gamba, mejillón o nécora
MARMITA|Olla grande con tapa
MARMOL|Piedra pulida de las estatuas
MARQUES|Título entre duque y conde
MARTES|Día después del lunes
MARTILLO|Clava los clavos
MARTIR|Muere por su fe
MARZO|Mes que trae la primavera
MASA|Mezcla blanda de harina
MASAJE|Frotación terapéutica
MASCARA|Cubre el rostro
MASTIL|Palo que sujeta la vela
MATADERO|Donde se sacrifica el ganado
MATE|Infusión de Sudamérica
MATEMATICA|Ciencia de los números
MATERIA|Sustancia de los cuerpos
MATIZ|Tono sutil de un color
MATORRAL|Terreno de arbustos
MATRICULA|Placa del coche
MATRIMONIO|Unión de dos esposos
MATRIZ|Órgano del embarazo
MAYO|Mes de las cruces
MAYONESA|Salsa de huevo y aceite
MAYOR|De más edad
MAZAPAN|Dulce de almendra navideño
MAZMORRA|Calabozo subterráneo
MAZO|Martillo grande
MECANICO|Arregla motores
MECHA|Cordón que se prende
MECHERO|Enciende el cigarro
MEDALLA|Premio que se cuelga al cuello
MEDIA|Prenda fina de la pierna
MEDIANOCHE|Las doce de la noche
MEDICINA|Ciencia de curar
MEDICO|Atiende a los enfermos
MEDIDA|Resultado de medir
MEDIODIA|Las doce de la mañana
MEJILLA|Carrillo de la cara
MEJILLON|Molusco de concha negra
MELENA|Cabello largo y suelto
MELOCOTON|Fruta de piel aterciopelada
MELODIA|Sucesión grata de notas
MELON|Fruta grande y dulce
MEMBRILLO|Fruta del dulce de otoño
MEMORIA|Facultad de recordar
MENDIGO|Pide limosna
MENSAJE|Comunicación que se envía
MENTA|Hierba de sabor fresco
MENTIRA|Dicho contrario a la verdad
MENU|Lista de los platos
MERCADO|Plaza de la compra
MERCANCIA|Producto que se vende
MERCURIO|Metal líquido del termómetro
MERENGUE|Dulce de clara batida
MERIENDA|Comida de la tarde
MERITO|Valor que se reconoce
MERLUZA|Pescado blanco muy común
MES|Doceava parte del año
MESA|Mueble de comer
MESETA|Llanura elevada
MESON|Taberna típica castellana
METAL|Hierro, cobre o plomo
METEORITO|Roca que cae del cielo
METODO|Manera ordenada de obrar
METRO|Unidad de longitud
MEZCLA|Unión de varias cosas
