# Vocabulario general: palabras con Q y con R
QUEBRADA|Paso estrecho entre montes
QUEBRANTO|Daño y pérdida grande
QUEHACER|Tarea de cada día
QUEJA|Expresión del descontento
QUEJIDO|Lamento de dolor
QUEMADURA|Lesión del fuego
QUERELLA|Denuncia ante el juez
QUESO|Producto curado de la leche
QUICIO|Marco donde gira la puerta
QUIEBRA|Ruina de una empresa
QUILATE|Unidad del peso del oro
QUILLA|Pieza inferior del casco del barco
QUIMERA|Ilusión imposible
QUIMICA|Ciencia de las sustancias
QUINCE|Tres lustros en años
QUINTA|Casa de campo con jardín
QUIOSCO|Puesto callejero de prensa
QUIROFANO|Sala de las operaciones
QUISTE|Bolsa anormal bajo la piel
QUITASOL|Sombrilla contra el sol
QUIJADA|Hueso de la mandíbula
QUIJOTE|Caballero de la Mancha
QUINCALLA|Objetos metálicos de poco valor
QUINTAL|Antigua medida de cien libras
QUINTETO|Grupo de cinco músicos
QUITANIEVES|Máquina que despeja la carretera
QUEBRADIZO|Que se rompe con facilidad
QUEBRAR|Romper en pedazos
QUEDAR|Permanecer en un sitio
QUEJARSE|Manifestar dolor
QUEMAR|Consumir con fuego
QUERER|Sentir amor por alguien
QUERUBIN|Ángel de la corte celestial
QUEBRANTAR|Violar una ley
QUIETUD|Ausencia de movimiento
QUIMERICO|Fantástico e irrealizable
QUINCENA|Periodo de quince días
QUIRURGICO|Relativo a la cirugía
QUITAR|Apartar una cosa
RABANO|Raíz picante de la ensalada
RABIA|Enfado violentísimo
RABO|Cola de un animal
RACIMO|Conjunto de uvas
RACION|Porción de comida
RADAR|Detecta objetos a distancia
RADIO|Hueso del antebrazo
RAFAGA|Golpe de viento repentino
RAIZ|Parte enterrada de la planta
RAJA|Corte largo y estrecho
RALLADOR|Desmenuza el queso
RAMA|Brazo lateral del árbol
RAMILLETE|Ramo pequeño de flores
RAMPA|Plano inclinado de acceso
RANA|Anfibio saltarín del charco
RANCHO|Comida del cuartel
RANCIO|Que ha perdido su frescura
RANGO|Categoría de una persona
RANURA|Hendidura estrecha
RAPIDEZ|Cualidad de lo veloz
RAPTO|Secuestro de una persona
RAQUETA|Golpea la pelota en el tenis
RAREZA|Cosa poco frecuente
RASCACIELOS|Edificio altísimo
RASGO|Característica de alguien
RASGUNO|Arañazo superficial
RASO|Tejido liso y lustroso
RASTRILLO|Apero de recoger hojas
RASTRO|Huella que se sigue
RATA|Roedor de gran tamaño
RATON|Roedor pequeño y gris
RAYA|Línea trazada
RAYO|Chispa eléctrica del cielo
RAZA|Grupo con caracteres comunes
RAZON|Facultad de razonar
REACCION|Respuesta a un estímulo
REALIDAD|Lo que existe de verdad
REBANADA|Loncha de pan
REBANO|Conjunto de ovejas
REBELDE|Que no obedece
REBOTE|Salto tras el choque
RECADO|Encargo que se lleva
RECAMBIO|Pieza de repuesto
RECELO|Desconfianza hacia algo
RECETA|Indicación del médico
RECIBO|Justificante del pago
RECINTO|Espacio cerrado
RECLAMO|Llamada que atrae
RECODO|Vuelta del camino
RECOMPENSA|Premio por un servicio
RECORD|Marca deportiva máxima
RECREO|Descanso entre clases
RECTA|Línea derecha
RECUERDO|Imagen que queda en la memoria
RED|Malla de hilos
REDACCION|Escrito sobre un tema
REDIL|Cercado de las ovejas
REFLEJO|Imagen devuelta por el espejo
REFRAN|Dicho popular con enseñanza
REFRESCO|Bebida fría y dulce
REFUGIO|Lugar de resguardo
REGALO|Obsequio que se hace
REGATA|Competición de barcos
REGION|Territorio con caracteres propios
REGISTRO|Anotación en un libro oficial
REGLA|Instrumento de trazar rectas
REGRESO|Vuelta al punto de partida
REINA|Soberana de un reino
REINO|Estado gobernado por un rey
REJA|Enrejado de la ventana
RELAMPAGO|Fogonazo de la tormenta
RELATO|Narración breve
RELEVO|Sustitución de un corredor
RELIEVE|Saliente de una superficie
RELIGION|Conjunto de creencias
RELINCHO|Voz del caballo
RELIQUIA|Resto venerado de un santo
RELLENO|Lo que va dentro del pastel
RELOJERO|Arregla las máquinas del tiempo
REMEDIO|Solución a un mal
REMITENTE|Quien envía la carta
REMOLACHA|Raíz dulce del azúcar
REMOLINO|Giro rápido del agua
REMOLQUE|Carro que arrastra el coche
RENCOR|Resentimiento guardado
RENDIJA|Abertura muy estrecha
RENGLON|Línea de escritura
RENO|Ciervo de los países nórdicos
RENTA|Ingreso periódico
REPARO|Objeción que se pone
REPASO|Segunda lectura de lo estudiado
REPISA|Estante saliente del muro
REPOLLO|Col apretada y redonda
REPORTAJE|Trabajo periodístico amplio
REPOSO|Descanso del cuerpo
REPTIL|Animal de sangre fría que repta
REPUESTO|Pieza de cambio
REQUESON|Cuajada blanda de la leche
RESACA|Malestar tras la borrachera
RESERVA|Lo que se guarda para después
RESFRIADO|Catarro común
RESIDENCIA|Casa donde se vive
RESIDUO|Resto que sobra
RESINA|Savia espesa del pino
RESORTE|Muelle que salta
RESPALDO|Parte trasera de la silla
RESPETO|Consideración hacia otro
RESPIRO|Alivio en medio del trabajo
RESPUESTA|Contestación a la pregunta
RESTO|Lo que queda
RESUMEN|Exposición breve de algo
RETAL|Trozo sobrante de tela
RETO|Desafío que se propone
RETRASO|Llegada fuera de hora
RETRATO|Imagen de una persona
REUMA|Dolor de las articulaciones
REUNION|Junta de varias personas
REVANCHA|Desquite de una derrota
REVERENCIA|Inclinación de respeto
REVISTA|Publicación ilustrada
REVOLUCION|Cambio radical y violento
REY|Soberano del reino
REZO|Oración a Dios
RIACHUELO|Río de escaso caudal
RIBERA|Margen del río
RICO|Que posee mucho
RIEGO|Aportación de agua al cultivo
RIEL|Carril del ferrocarril
RIENDA|Correa que guía al caballo
RIESGO|Posibilidad de daño
RIFA|Sorteo de un objeto
RIGOR|Severidad extrema
RINA|Pelea entre dos
RINCON|Ángulo entrante
RINOCERONTE|Paquidermo del cuerno
RIQUEZA|Abundancia de bienes
RISA|Muestra sonora de alegría
RITMO|Orden acompasado
RITO|Ceremonia religiosa
RIVAL|Competidor en una lucha
RIZO|Bucle del cabello
ROBLE|Árbol de madera muy dura
ROBO|Sustracción violenta
ROBOT|Máquina automática con forma humana
ROCA|Masa mineral dura
ROCIO|Gotas del amanecer
RODAJA|Rebanada circular
RODILLA|Articulación de la pierna
RODILLO|Cilindro que aplana
ROEDOR|Animal de dientes incisivos
ROMANCE|Composición poética española
ROMERIA|Fiesta junto a la ermita
ROMERO|Arbusto aromático de monte
RONCA|Emite ruido al dormir
RONDA|Vuelta de vigilancia
RONQUIDO|Ruido al respirar dormido
ROPA|Vestido y prendas
ROPERO|Armario de la ropa
ROSA|Flor de pétalos y espinas
ROSAL|Planta de las rosas
ROSCA|Vuelta de un tornillo
ROSTRO|Cara de la persona
ROTO|Partido en pedazos
ROTULO|Letrero de la tienda
RUBI|Piedra preciosa roja
RUBOR|Color que sube a las mejillas
RUDEZA|Falta de suavidad
RUEDA|Pieza circular que rueda
RUEDO|Arena de la plaza de toros
RUGIDO|Voz del león
RUIDO|Sonido molesto y confuso
RUINA|Resto de un edificio
RUISENOR|Pájaro de canto melodioso
RULETA|Juego de la bolita y el cilindro
RUMBO|Dirección que se sigue
RUMOR|Noticia sin confirmar
RUPTURA|Rompimiento de una relación
RUTA|Camino que se recorre
RUTINA|Costumbre repetida a diario
RABIAR|Sentir gran enfado
RABIOSO|Enfermo de rabia
RACIONAL|Dotado de razón
RADIANTE|Que brilla de alegría
RADICAL|Que va a la raíz del asunto
RAER|Raspar la superficie
RAJAR|Abrir una hendidura
RALENTIZAR|Hacer más lento
RALLAR|Desmenuzar con el rallador
RAMIFICAR|Dividirse en ramas
RAMPLON|Vulgar y sin gracia
RANCHERO|Dueño de un rancho
RAPAR|Cortar el pelo al cero
RAPINA|Robo con violencia
RAPTAR|Llevarse por la fuerza
RASCAR|Frotar con las uñas
RASGAR|Romper la tela
RASPAR|Quitar la capa superficial
RASTREAR|Seguir el rastro
RASURAR|Afeitar la barba
RATIFICAR|Confirmar lo dicho
RATONERA|Trampa para roedores
RAYAR|Trazar rayas
REACCIONAR|Responder a un estímulo
REANIMAR|Devolver el sentido
REANUDAR|Continuar lo interrumpido
REBAJA|Descuento en el precio
REBASAR|Pasar del límite
REBATIR|Rechazar un argumento
REBELARSE|Alzarse contra la autoridad
REBOSAR|Salirse por el borde
REBOZAR|Cubrir con huevo y harina
REBUSCAR|Buscar con detenimiento
RECAER|Volver a caer enfermo
RECALCAR|Repetir con énfasis
RECALENTAR|Volver a calentar
RECAPACITAR|Volver a pensarlo
RECARGAR|Volver a llenar
RECATO|Pudor y discreción
RECAUDAR|Reunir el dinero
RECELAR|Sospechar de alguien
RECHAZAR|No aceptar algo
RECHINAR|Chirriar al rozar
RECIBIR|Tomar lo que se envía
RECIENTE|De hace muy poco
RECIO|Fuerte y robusto
RECIPIENTE|Vasija que contiene algo
RECITAR|Decir versos de memoria
RECLAMAR|Exigir un derecho
RECLINAR|Apoyar la cabeza
RECLUTAR|Alistar soldados
RECOBRAR|Volver a tener
RECOGER|Levantar del suelo
RECOMENDAR|Aconsejar a favor
RECONOCER|Identificar a alguien
RECORDAR|Traer a la memoria
RECORRER|Andar un trayecto
RECORTAR|Cortar los bordes
RECOSTAR|Apoyar el cuerpo
RECREAR|Divertir el ánimo
RECRIMINAR|Echar algo en cara
RECTIFICAR|Corregir un error
RECTITUD|Honradez de conducta
RECUPERAR|Volver a conseguir
RECURRIR|Acudir a alguien en busca de ayuda
REDACTAR|Poner por escrito
REDIMIR|Librar de una carga
REDONDO|De forma circular
REDUCIR|Hacer más pequeño
REEMBOLSO|Devolución del dinero
REEMPLAZAR|Poner otro en su lugar
REFERIR|Contar un suceso
REFINAR|Purificar una sustancia
REFLEJAR|Devolver la imagen
REFLEXIONAR|Pensar con detenimiento
REFORMAR|Cambiar para mejorar
REFORZAR|Dar más fuerza
REFUGIAR|Acoger al perseguido
