# Formas verbales conjugadas, habituales en los autodefinidos
ABRE|Quita el cierre
ABRIO|Descorrió el cerrojo
ABRIRE|Descorreré el pestillo
ACABA|Llega al final
ACABO|Terminé la tarea
ACUDE|Va donde le llaman
ACUSA|Señala al culpable
AMABA|Sentía amor
AMAMOS|Sentimos cariño, nosotros
AMARA|Sintiera cariño
AMARE|Sentiré cariño
AMASA|Trabaja la harina
AMEN|Quieran con amor, ellos
ANDA|Camina a pie
ANDABA|Caminaba despacio
ANDUVO|Recorrió a pie
APAGA|Quita la luz
APARTA|Pone a un lado
ARDE|Está en llamas
ARDIA|Se consumía en llamas
ARDIO|Se quemó del todo
ASA|Cocina al horno
ASOMA|Saca la cabeza
ATABA|Sujetaba con soga
ATARA|Amarrase con nudo
AVISA|Da la alerta
AYUDA|Presta auxilio
BAILA|Se mueve al compás
BAJA|Desciende un piso
BARRE|Limpia con escoba
BEBE|Toma un líquido
BEBIA|Tomaba vino
BEBIO|Apuró el vaso
BESA|Junta los labios
BORRA|Hace desaparecer lo escrito
BRILLA|Despide luz
BUSCA|Trata de hallar
CABE|Tiene sitio bastante
CAE|Va contra el suelo
CAIA|Se venía abajo
CALLA|No dice nada
CAMBIA|Sustituye una cosa
CANTA|Entona una melodía
CANTABA|Entonaba una canción
CANTE|Entone, subjuntivo
CANTO|Entoné una copla
CASA|Une en matrimonio
CAVA|Abre un hoyo
CAZA|Persigue la pieza
CEDE|Da paso al otro
CENA|Toma el último plato del día
CERRO|Echó el cerrojo
CIERRA|Echa la llave
COCE|Hierve al fuego
COGE|Toma con la mano
COGIO|Agarró con la mano
COME|Toma alimento
COMIA|Tomaba el almuerzo
COMIO|Dio cuenta del plato
CORRE|Va muy deprisa
CORRIA|Iba a la carrera
CORRIO|Fue veloz
CORTA|Divide con filo
COSE|Une con hilo
CREA|Da vida a una obra
CREE|Tiene por cierto
CREIA|Tenía por seguro
CREYO|Dio por cierto
CRECE|Se hace mayor
CRUZA|Pasa al otro lado
CUBRE|Tapa por encima
CUENTA|Narra una historia
CURA|Devuelve la salud
DA|Entrega algo
DABA|Entregaba con la mano
DAN|Entregan ellos
DARA|Entregará mañana
DEBE|Tiene una deuda
DEJA|Abandona en un sitio
DESEA|Quiere conseguir
DICE|Expresa con palabras
DIJO|Manifestó de palabra
DIO|Entregó en su día
DORMIA|Descansaba en la cama
DUERME|Descansa dormido
DURA|Se prolonga en el tiempo
ECHA|Arroja fuera
ENTRA|Pasa adentro
ERA|Existía antes
ERES|Existes tú
ESTA|Se halla presente
FUE|Marchó en su día
FUI|Marché yo
GANA|Vence en el juego
