# Geografía de España: provincias, ciudades, ríos, montes y comarcas
ALAVA|Provincia de Vitoria
ALBACETE|Ciudad manchega de los cuchillos
ALICANTE|Provincia de la Costa Blanca
ALMERIA|Provincia del desierto de Tabernas
ASTURIAS|Principado de Oviedo
AVILA|Ciudad de las murallas y Santa Teresa
BADAJOZ|Capital extremeña del Guadiana
BALEARES|Archipiélago del Mediterráneo español
BARCELONA|Ciudad condal
BILBAO|Villa del Nervión
BURGOS|Ciudad del Cid y la catedral gótica
CACERES|Ciudad extremeña de casco monumental
CADIZ|La tacita de plata
CANARIAS|Archipiélago del Atlántico español
CANTABRIA|Comunidad de Santander
CASTELLON|Provincia del Mediterráneo valenciano
CEUTA|Ciudad autónoma del norte de África
CIUDADREAL|Capital manchega del Guadiana
CORDOBA|Ciudad de la mezquita
CORUNA|Ciudad gallega de la torre de Hércules
CUENCA|Ciudad de las casas colgadas
GERONA|Provincia catalana del Ter
GIJON|Ciudad asturiana del Musel
GRANADA|Ciudad de la Alhambra
GUADALAJARA|Capital castellana del Henares
HUELVA|Provincia de Doñana y el Rocío
HUESCA|Capital aragonesa del Pirineo
JAEN|Provincia del mar de olivos
LEON|Ciudad de la catedral de las vidrieras
LERIDA|Capital catalana del Segre
LOGRONO|Capital riojana del vino
LUGO|Ciudad gallega de la muralla romana
MADRID|Capital del reino
MALAGA|Ciudad de la Costa del Sol
MELILLA|Ciudad autónoma africana
MURCIA|Capital del Segura
NAVARRA|Comunidad foral de Pamplona
ORENSE|Provincia gallega del Miño
OVIEDO|Capital del Principado
PALENCIA|Capital castellana del Carrión
PAMPLONA|Ciudad de los sanfermines
PONTEVEDRA|Provincia gallega de las Rías Bajas
RIOJA|Comunidad del vino de crianza
SALAMANCA|Ciudad de la plaza mayor y la universidad
SANTANDER|Capital cántabra de la bahía
SEGOVIA|Ciudad del acueducto
SEVILLA|Ciudad de la Giralda
SORIA|Capital castellana del Duero
TARRAGONA|Ciudad catalana de las ruinas romanas
TENERIFE|Isla del Teide
TERUEL|Ciudad de los amantes
TOLEDO|Ciudad imperial del Tajo
VALENCIA|Ciudad de las Fallas
VALLADOLID|Capital castellana del Pisuerga
VIGO|Ciudad gallega de la ría
VITORIA|Capital alavesa
ZAMORA|Ciudad del románico y el Duero
ZARAGOZA|Ciudad del Pilar
EBRO|Río más caudaloso de España
TAJO|Río más largo de la península
DUERO|Río que pasa por Zamora
