# Geografía del mundo: países, capitales, ríos, mares y montañas
ALEMANIA|País de Berlín
FRANCIA|País de la torre Eiffel
ITALIA|País de la bota
PORTUGAL|País vecino del oeste peninsular
GRECIA|País del Partenón
SUIZA|País de los relojes y los Alpes
AUSTRIA|País de Mozart
BELGICA|País de Bruselas
HOLANDA|País de los molinos y los tulipanes
DINAMARCA|País de Copenhague
SUECIA|País de Estocolmo
NORUEGA|País de los fiordos
FINLANDIA|País de Helsinki
ISLANDIA|País de los géiseres
IRLANDA|Isla esmeralda
ESCOCIA|País de las gaitas y los lagos
GALES|País del príncipe británico
INGLATERRA|País de Londres
POLONIA|País de Varsovia
HUNGRIA|País de Budapest
RUMANIA|País de Bucarest y Drácula
BULGARIA|País de Sofía
SERBIA|País de Belgrado
CROACIA|País de Zagreb y Dubrovnik
ESLOVENIA|País de Liubliana
ALBANIA|País de Tirana
TURQUIA|País entre Europa y Asia
RUSIA|País más extenso del mundo
UCRANIA|País de Kiev
BIELORRUSIA|País de Minsk
LITUANIA|República báltica de Vilna
LETONIA|República báltica de Riga
ESTONIA|República báltica de Tallin
CHIPRE|Isla del Mediterráneo oriental
MALTA|Isla mediterránea de La Valeta
MONACO|Principado del Gran Premio
LUXEMBURGO|Gran ducado europeo
LIECHTENSTEIN|Principado alpino diminuto
CHINA|País más poblado de Asia
JAPON|País del sol naciente
INDIA|País del Taj Mahal
COREA|Península asiática dividida en dos países
VIETNAM|País de Hanói
TAILANDIA|País de Bangkok
CAMBOYA|País de Angkor
BIRMANIA|País de Rangún
INDONESIA|País de Yakarta y Bali
FILIPINAS|Archipiélago asiático de Manila
MALASIA|País de Kuala Lumpur
NEPAL|País del Everest
PAKISTAN|País de Islamabad
AFGANISTAN|País de Kabul
IRAN|País de Teherán
IRAK|País de Bagdad
SIRIA|País de Damasco
LIBANO|País de Beirut
ISRAEL|País de Jerusalén
JORDANIA|País de Petra
ARABIA|Reino de La Meca
KUWAIT|Emirato del golfo Pérsico
CATAR|Emirato de Doha
OMAN|Sultanato de Mascate
YEMEN|País del sur de Arabia
EGIPTO|País del Nilo
LIBIA|País de Trípoli
TUNEZ|País del norte de África y su capital
ARGELIA|País de Argel
MARRUECOS|País de Rabat
SENEGAL|País de Dakar
MALI|País de Bamako
NIGERIA|País africano más poblado
GHANA|País de Acra
KENIA|País de Nairobi y los safaris
TANZANIA|País del Kilimanjaro
ETIOPIA|País de Adís Abeba
SUDAN|País de Jartum
SOMALIA|País del cuerno de África
UGANDA|País de Kampala
ANGOLA|País de Luanda
MOZAMBIQUE|País de Maputo
ZAMBIA|País de Lusaka
ZIMBABUE|País de Harare
NAMIBIA|País del desierto del Namib
BOTSUANA|País del Kalahari
MADAGASCAR|Gran isla del océano Índico
CANADA|País de Ottawa y el arce
MEXICO|País de los aztecas
CUBA|Isla de La Habana
JAMAICA|Isla del reggae
HAITI|País caribeño de Puerto Príncipe
PANAMA|País del canal interoceánico
COSTARICA|País de San José
