# Animales
ABEJA|Insecto de la colmena
ABEJORRO|Insecto grande y velludo
ACEBRA|Variedad del équido rayado
AGUILA|Reina de las aves rapaces
ALACRAN|Arácnido de aguijón venenoso
ALBATROS|Ave marina de gran envergadura
ALCE|Cérvido nórdico de gran cornamenta
ALMEJA|Bivalvo de la arena
ANACONDA|Serpiente gigante del Amazonas
ANGUILA|Pez alargado y viscoso
ANTILOPE|Rumiante veloz de la sabana
ARANA|Artrópodo que teje telas
ARDILLA|Roedor de cola espesa
ARENQUE|Pez azul del norte
ARMADILLO|Mamífero americano acorazado
ASNO|Équido de orejas largas
ATUN|Gran pez de las almadrabas
AVESTRUZ|Ave más grande que no vuela
AVISPA|Insecto de picadura dolorosa
BABOSA|Molusco sin concha
BACALAO|Pez blanco del Atlántico norte
BALLENA|Cetáceo de barbas
BESUGO|Pez de ojo grande
BISONTE|Bóvido de las praderas
BOA|Serpiente constrictora
BOQUERON|Pez azul pequeño
BUEY|Bóvido castrado de tiro
BUFALO|Bóvido salvaje de cuernos curvos
BUHO|Ave rapaz nocturna
BUITRE|Ave carroñera de gran tamaño
BURRO|Bestia de carga de orejas largas
CABALLO|Équido de silla
CABRA|Rumiante de los riscos
CACHALOTE|Gran cetáceo de cabeza cuadrada
CAIMAN|Cocodrilo americano
CALAMAR|Cefalópodo de diez brazos
CAMALEON|Reptil que muda de color
CAMELLO|Rumiante de dos jorobas
CANARIO|Ave amarilla de jaula
CANGREJO|Crustáceo de pinzas
CANGURO|Marsupial de gran salto
CARACOL|Gasterópodo de concha espiral
CARNERO|Macho del ganado lanar
CARPA|Pez de estanque
CASTOR|Roedor que levanta presas
CEBRA|Équido africano de rayas
CERDO|Animal de la pocilga
CIERVO|Rumiante de cuerna ramificada
CIGARRA|Insecto que canta en verano
CIGUENA|Ave zancuda de los campanarios
CISNE|Palmípeda de cuello curvo
COCODRILO|Reptil de los ríos africanos
CODORNIZ|Ave menuda de caza
COMADREJA|Pequeño carnívoro alargado
CONDOR|Gran buitre de los Andes
CONEJO|Roedor de madriguera
CORDERO|Cría de la oveja
CORMORAN|Ave marina buceadora
CORZO|Pequeño cérvido del bosque
CUCARACHA|Insecto rastrero de cocina
CUERVO|Ave negra de graznido
CULEBRA|Ofidio sin veneno
DELFIN|Cetáceo inteligente
DROMEDARIO|Camélido de una joroba
ELEFANTE|Mayor mamífero terrestre
ERIZO|Mamífero de púas
ESCARABAJO|Insecto de élitros duros
ESCORPION|Arácnido de cola con aguijón
ESTORNINO|Ave negra de bandadas
