# Historia, mitología y religión
FARAON|Soberano del antiguo Egipto
PIRAMIDE|Tumba monumental egipcia
ESFINGE|Figura de cuerpo de león y cabeza humana
MOMIA|Cadáver embalsamado egipcio
PAPIRO|Soporte de escritura del Nilo
JEROGLIFICO|Escritura egipcia de figuras
OBELISCO|Monolito de punta piramidal
SARCOFAGO|Caja que guarda la momia
NILO|Río que daba vida a Egipto
CLEOPATRA|Última reina de Egipto
CESAR|Título de los emperadores romanos
IMPERIO|Estado que domina muchos territorios
LEGION|Unidad principal del ejército romano
GLADIADOR|Luchador del circo romano
COLISEO|Anfiteatro de Roma
FORO|Plaza pública de la ciudad romana
ACUEDUCTO|Construcción que traía el agua
CALZADA|Camino empedrado romano
TOGA|Vestidura de los ciudadanos romanos
SENADO|Asamblea de la Roma antigua
CONSUL|Magistrado supremo de la república romana
PATRICIO|Noble de la antigua Roma
PLEBEYO|Ciudadano común romano
ESCLAVO|Persona sin libertad en la Antigüedad
ANFORA|Vasija antigua de dos asas
ACROPOLIS|Ciudad alta de Atenas
PARTENON|Templo de la diosa Atenea
AGORA|Plaza pública griega
POLIS|Ciudad estado de Grecia
ESPARTA|Ciudad griega de guerreros
TROYA|Ciudad del caballo de madera
ODISEA|Viaje de Ulises
ILIADA|Poema de la guerra de Troya
HOMERO|Poeta ciego de la antigua Grecia
ULISES|Héroe griego del regreso a Ítaca
AQUILES|Héroe griego del talón vulnerable
HECTOR|Héroe troyano vencido por Aquiles
HELENA|Belleza que causó la guerra de Troya
PARIS|Príncipe troyano del rapto
PENELOPE|Esposa que tejía esperando
ITACA|Isla del rey que tardó veinte años
ZEUS|Dios supremo del Olimpo
HERA|Esposa del dios supremo griego
POSEIDON|Dios griego de los mares
HADES|Dios griego del inframundo
ATENEA|Diosa griega de la sabiduría
APOLO|Dios griego de la luz y las artes
ARTEMISA|Diosa griega de la caza
AFRODITA|Diosa griega del amor
ARES|Dios griego de la guerra
HERMES|Mensajero de los dioses griegos
HEFESTO|Dios griego del fuego y la forja
DIONISO|Dios griego del vino
DEMETER|Diosa griega de la agricultura
OLIMPO|Monte de los dioses griegos
JUPITER|Dios supremo romano
JUNO|Esposa del dios supremo romano
NEPTUNO|Dios romano del mar
PLUTON|Dios romano del inframundo
MINERVA|Diosa romana de la sabiduría
VENUS|Diosa romana del amor
MARTE|Dios romano de la guerra
MERCURIO|Mensajero de los dioses romanos
VULCANO|Dios romano de la fragua
BACO|Dios romano del vino
CERES|Diosa romana de las cosechas
DIANA|Diosa romana de la caza
CUPIDO|Dios del amor con arco y flechas
HERCULES|Héroe de los doce trabajos
TESEO|Héroe que venció al Minotauro
MINOTAURO|Monstruo del laberinto de Creta
LABERINTO|Construcción de pasillos sin salida
MEDUSA|Monstruo de cabellos de serpientes
CENTAURO|Ser mitad hombre mitad caballo
SIRENA|Ser que atraía a los marineros
CICLOPE|Gigante de un solo ojo
QUIMERA|Monstruo mitológico de varias partes
FENIX|Ave que renace de sus cenizas
PEGASO|Caballo alado de la mitología
DRAGON|Monstruo alado que echa fuego
TITAN|Gigante anterior a los dioses griegos
PROMETEO|Titán que robó el fuego
ATLAS|Titán que sostiene el cielo
NARCISO|Joven enamorado de su reflejo
MIDAS|Rey que convertía todo en oro
ICARO|Voló demasiado cerca del sol
DEDALO|Constructor del laberinto de Creta
ORFEO|Músico que bajó al inframundo
ODIN|Dios principal de los nórdicos
