# Gastronomía, cocina y alimentos
PAELLA|Arroz valenciano con azafrán
GAZPACHO|Sopa fría de tomate y pepino
TORTILLA|Plato de huevo batido y patata
COCIDO|Guiso de garbanzos, carne y verdura
FABADA|Potaje asturiano de alubias
POTE|Caldo gallego con grelos
CALLOS|Guiso de tripas de ternera
MIGAS|Plato de pan desmenuzado y frito
SALMOREJO|Crema fría cordobesa
AJOBLANCO|Sopa fría de almendra y ajo
ESCUDELLA|Caldo catalán con pelota
MARMITAKO|Guiso vasco de bonito y patata
PISTO|Fritada de hortalizas
SAMFAINA|Pisto catalán
ESCALIVADA|Verduras asadas catalanas
PIPERRADA|Fritada vasca de pimientos
ZARANGOLLO|Revuelto murciano de calabacín
PORRUSALDA|Sopa vasca de puerros
CALDERETA|Guiso de cordero o pescado
CHILINDRON|Guiso aragonés de pimientos
PEPITORIA|Guiso de ave con almendra
ESTOFADO|Guiso a fuego lento
GUISO|Comida cocinada con caldo
ASADO|Carne hecha al horno o brasa
COCHINILLO|Lechón asado segoviano
LECHAZO|Cordero lechal asado
CHULETON|Chuleta de gran tamaño
SOLOMILLO|Corte tierno de la res
ENTRECOT|Corte de carne entre costillas
FILETE|Loncha de carne magra
ALBONDIGA|Bola de carne picada
CROQUETA|Bola rebozada de bechamel
EMPANADA|Masa rellena al horno
EMPANADILLA|Pastelillo frito relleno
BOCADILLO|Pan abierto con relleno
MONTADITO|Pequeño bocado sobre pan
TAPA|Pequeña ración de acompañamiento
PINCHO|Bocado servido sobre palillo
RACION|Porción servida en el bar
APERITIVO|Bocado antes de la comida
ENTRANTE|Primer plato de la mesa
POSTRE|Último plato de la comida
GUARNICION|Acompañamiento del plato principal
CHORIZO|Embutido rojo con pimentón
MORCILLA|Embutido de sangre
SALCHICHON|Embutido curado con pimienta
LOMO|Embutido curado de cerdo
SOBRASADA|Embutido untuoso mallorquín
CECINA|Carne curada de vacuno
JAMON|Pata trasera curada del cerdo
PALETA|Pata delantera curada
PANCETA|Tocino veteado de cerdo
TOCINO|Grasa curada del cerdo
MANTECA|Grasa de cerdo derretida
CHICHARRON|Residuo frito de la manteca
QUESO|Producto cuajado de la leche
CUAJADA|Postre de leche cuajada
REQUESON|Cuajada blanda y suave
YOGUR|Leche fermentada
NATA|Crema grasa de la leche
MANTEQUILLA|Grasa batida de la leche
KEFIR|Leche fermentada de origen caucásico
HUEVO|Alimento que pone la gallina
CLARA|Parte blanca del huevo
YEMA|Parte amarilla del huevo
REVUELTO|Huevos batidos con algún ingrediente
FRITO|Alimento cocinado en aceite abundante
COCIDO|Alimento hervido en agua
ASADO|Alimento hecho al horno
PLANCHA|Modo de cocinar sobre placa caliente
BRASA|Modo de asar sobre ascuas
PARRILLA|Rejilla para asar
HORNO|Aparato de cocción por calor seco
SARTEN|Recipiente plano de freír
CAZUELA|Recipiente hondo de barro
OLLA|Recipiente alto de cocer
PUCHERO|Vasija del cocido
CACEROLA|Recipiente de dos asas
PEROL|Recipiente hondo de metal
COLADOR|Utensilio que filtra
ESPUMADERA|Paleta agujereada de cocina
CUCHARON|Cuchara grande de servir
BATIDORA|Aparato que tritura
EXPRIMIDOR|Extrae el zumo del cítrico
RALLADOR|Utensilio de desmenuzar
MORTERO|Vasija donde se maja
MAJADO|Preparación machacada en el mortero
ADOBO|Aliño para conservar la carne
ESCABECHE|Conserva con vinagre
SALMUERA|Agua muy salada de conservar
MARINADA|Baño de aliño para la carne
ALINO|Mezcla que da sabor
VINAGRETA|Aliño de aceite y vinagre
MAYONESA|Salsa emulsionada de huevo
ALIOLI|Salsa de ajo y aceite
BECHAMEL|Salsa blanca de leche y harina
SOFRITO|Base de cebolla y tomate rehogados
CALDO|Líquido de cocer carne o verdura
CONSOME|Caldo claro y concentrado
CREMA|Sopa espesa y suave
PURE|Alimento triturado y espeso
SOPA|Caldo con pasta, arroz o pan
FIDEUA|Plato de fideos al estilo de la paella
ARROZ|Cereal blanco de la paella
PASTA|Alimento de harina y agua
MACARRON|Pasta corta y hueca
ESPAGUETI|Pasta larga y fina
TALLARIN|Pasta en tira plana
CANELON|Pasta enrollada y rellena
LASANA|Pasta en capas al horno
RAVIOLI|Pasta rellena italiana
NOQUI|Pasta italiana de patata
HARINA|Polvo del cereal molido
LEVADURA|Fermento que hace subir la masa
MASA|Mezcla de harina y líquido
HOJALDRE|Masa de muchas capas finas
BOLLO|Pieza pequeña de pan dulce
BARRA|Pan alargado
HOGAZA|Pan grande y redondo
CHAPATA|Pan plano de corteza crujiente
PICOS|Panecillos secos de acompañar
BISCOTE|Pan tostado en rebanadas
TOSTADA|Rebanada de pan dorada
MIGA|Parte blanda del pan
CORTEZA|Parte exterior y dura del pan
CHURRO|Masa frita en tira estriada
PORRA|Churro grueso
BUNUELO|Masa frita y esponjosa
ROSQUILLA|Dulce frito en forma de aro
PESTINO|Dulce frito con miel
TORRIJA|Pan empapado y frito de Semana Santa
FLAN|Postre de huevo y caramelo
NATILLAS|Postre cremoso de huevo
ARROZCONLECHE|Postre de grano cocido en leche
TOCINODECIELO|Dulce de yema y almíbar
MAZAPAN|Dulce de almendra y azúcar
TURRON|Dulce navideño de almendra
POLVORON|Dulce que se deshace en la boca
MANTECADO|Dulce navideño de manteca
ALFAJOR|Dulce andaluz de miel y frutos secos
PANETTONE|Bollo italiano de Navidad
BIZCOCHO|Masa dulce y esponjosa de horno
MAGDALENA|Bollito individual de horno
TARTA|Pastel grande y decorado
PASTEL|Dulce de repostería
MERENGUE|Dulce de clara batida y azúcar
MOUSSE|Postre aireado y esponjoso
HELADO|Postre congelado
SORBETE|Helado ligero de fruta
GRANIZADO|Bebida de hielo picado
BATIDO|Bebida de leche y fruta
HORCHATA|Bebida blanca de chufa
ZUMO|Líquido exprimido de la fruta
LIMONADA|Refresco de limón
GASEOSA|Refresco con burbujas
REFRESCO|Bebida fría sin alcohol
INFUSION|Bebida de hierbas en agua caliente
MANZANILLA|Infusión digestiva de flor amarilla
POLEO|Infusión de menta silvestre
TILA|Infusión relajante
CAFE|Bebida oscura y estimulante
CORTADO|Café con un poco de leche
CAPUCHINO|Café con espuma de leche
DESCAFEINADO|Café sin su estimulante
CHOCOLATE|Bebida espesa de cacao
COLACAO|Bebida infantil de cacao
