# Segunda vuelta de vocabulario: A, B y C
ABALORIO|Cuentecilla de collar
ABANDERADO|Quien lleva la bandera
ABARCAR|Ceñir con los brazos
ABASTECER|Suministrar provisiones
ABATIR|Derribar por tierra
ABDICAR|Renunciar al trono
ABEJERO|Colmenero que cuida las abejas
ABIGARRADO|De colores mal combinados
ABISMAL|Enormemente profundo
ABLANDAR|Poner blando
ABLUCION|Lavatorio ritual
ABNEGACION|Sacrificio de uno mismo
ABOCHORNAR|Avergonzar a alguien
ABOFETEAR|Dar bofetadas
ABOLENGO|Linaje ilustre
ABOMINAR|Detestar profundamente
ABONANZAR|Calmarse el temporal
ABORIGEN|Habitante originario
ABORRECER|Tomar aversión
ABOTONAR|Cerrar los botones
ABOVEDADO|Cubierto con bóveda
ABRASADOR|Que quema mucho
ABREVADERO|Pilón donde beben las reses
ABROCHAR|Cerrar una prenda
ABROJO|Planta espinosa del campo
ABRUMAR|Agobiar con exceso
ABSOLVER|Declarar libre de culpa
ABSORTO|Ensimismado en algo
ABSTENER|Privarse de algo
ABSTRACTO|Que no se percibe por los sentidos
ABULTAR|Hacer más grueso
ABURRIR|Causar tedio
ACABADO|Terminado por completo
ACAECER|Suceder un hecho
ACALLAR|Hacer que se calle
ACALORAR|Dar calor o entusiasmo
ACAMPADA|Estancia en tiendas de campaña
ACANALADO|Con estrías o canales
ACANTILADO|Costa cortada a pico
ACAPARAR|Acumular en exclusiva
ACARTONADO|Seco y rígido como el cartón
ACCEDER|Consentir en lo pedido
ACCIONISTA|Dueño de acciones
ACECHAR|Observar a escondidas
ACEITOSO|Impregnado de aceite
ACEITUNERO|Quien recoge la oliva
ACENTUAR|Poner el acento
ACEPCION|Cada significado de una palabra
ACERBO|Áspero y cruel
ACERCAMIENTO|Aproximación entre partes
ACERTADO|Hecho con acierto
ACHACAR|Atribuir una culpa
ACHAPARRADO|Bajo y grueso
ACHATAR|Poner chato
ACHICAR|Sacar el agua de la barca
ACHICHARRAR|Quemar demasiado
ACICALAR|Arreglar con esmero
ACLIMATAR|Acostumbrar a un clima
ACOGEDOR|Cálido y confortable
ACOMETER|Emprender con ímpetu
ACOMODAR|Poner cómodo
ACONDICIONAR|Preparar para un uso
ACONGOJAR|Llenar de angustia
ACOPIO|Reunión de provisiones
ACORDAR|Llegar a un acuerdo
ACORDEONISTA|Toca el fuelle de teclas
ACORRALAR|Encerrar sin salida
ACOSAR|Perseguir sin tregua
ACOSTAR|Echar en la cama
ACRECENTAR|Hacer mayor
ACREDITAR|Dar prueba de algo
ACRIBILLAR|Llenar de agujeros
ACRITUD|Aspereza en el trato
ACTUAR|Obrar de cierto modo
ACUARTELAR|Recluir en el cuartel
ACUCIAR|Dar prisa
ACUDIENTE|Quien responde por otro
ACUERDO|Conformidad entre partes
ACUSICA|Que delata a los demás
ADALID|Caudillo que guía
ADAPTABLE|Que se amolda con facilidad
ADEFESIO|Persona o cosa ridícula
ADELFILLA|Arbusto pequeño de flor rosada
ADEMANES|Gestos con las manos
ADENTRARSE|Penetrar en el interior
ADEPTO|Partidario de una causa
ADEREZO|Aliño de la comida
ADHERIR|Pegar una cosa a otra
ADIESTRADOR|Entrena a los perros
ADIPOSO|De naturaleza grasa
ADITIVO|Sustancia que se añade
ADIVINAR|Acertar lo oculto
ADJUDICAR|Conceder en subasta
ADJUNTAR|Acompañar un documento
ADMINISTRAR|Gobernar unos bienes
ADMIRABLE|Digno de asombro
ADOCENADO|Vulgar y sin mérito
ADOLECER|Padecer un defecto
ADONDE|A qué lugar
ADORMILAR|Quedarse medio dormido
ADORNAR|Poner adornos
ADQUISICION|Compra de algo
ADRENALINA|Hormona que dispara el cuerpo
ADUCIR|Aportar razones
ADULTERAR|Alterar la pureza de algo
ADVENEDIZO|Recién llegado sin méritos
ADVENIMIENTO|Llegada solemne
ADVERSIDAD|Suerte contraria
ADVERTENCIA|Aviso de un riesgo
ADYACENTE|Situado al lado
AEROPUERTO|Instalación donde aterrizan los aviones
AFABILIDAD|Trato cordial y suave
AFANOSO|Que trabaja con empeño
AFEAR|Poner feo
AFECCION|Enfermedad que se padece
AFECTUOSO|Cariñoso en el trato
AFEITADO|Sin barba
AFEMINADO|De modales delicados
AFERRADO|Agarrado con fuerza
AFICIONAR|Despertar el gusto por algo
AFILADOR|Quien saca filo a los cuchillos
AFILIAR|Inscribir en una organización
AFINIDAD|Semejanza o atracción entre dos
AFIRMACION|Dicho que sostiene algo
AFLICCION|Pena honda del ánimo
AFLUENCIA|Concurrencia de mucha gente
AFRODISIACO|Que estimula el deseo
AGACHADA|Postura de cuclillas
AGARRADERA|Asa por donde se sujeta
AGASAJAR|Tratar con obsequios
AGAVILLAR|Formar gavillas
AGENCIAR|Conseguir con maña
AGIGANTADO|De proporciones enormes
AGIOTISTA|Especulador de la bolsa
AGITADOR|Quien excita a la revuelta
AGLOMERAR|Amontonar cosas
AGOBIO|Sensación de carga insoportable
AGOLPAR|Juntarse de golpe
AGONIZAR|Estar en los últimos momentos
AGORERO|Que anuncia desgracias
AGOSTAR|Secar el calor las plantas
AGRACIADO|Que ha tocado en suerte
AGRADECER|Dar las gracias
AGRARIO|Relativo al campo
AGRAVAR|Poner más grave
AGRESIVO|Propenso a atacar
AGREMIAR|Reunir en un gremio
AGRICULTURA|Cultivo de la tierra
AGRIDULCE|Con sabor entre agrio y dulce
AGRONOMO|Ingeniero del campo
AGRUPACION|Conjunto organizado
AGUACHIRLE|Bebida muy aguada
AGUANIEVE|Lluvia mezclada con nieve
AGUARDIENTE|Bebida de alta graduación
AGUDIZAR|Hacer más agudo
AGUERRIR|Curtir en la lucha
AGUIJONEAR|Picar con el aguijón
AGUZAR|Sacar punta
AHERROJAR|Poner grilletes
AHITO|Harto de comer
AHONDAR|Profundizar más
AHORCAR|Colgar del cuello
AHORRADOR|Que gasta poco
AHUECAR|Poner hueco
AIREAR|Ventilar una estancia
AISLAMIENTO|Separación de todo contacto
AJADO|Marchito y estropeado
AJETREAR|Traer de un lado a otro
AJIACO|Guiso americano de tubérculos
AJONJOLI|Semilla del sésamo
AJORCA|Aro de adorno del brazo
AJUSTE|Encaje preciso de dos piezas
ALABAR|Hablar bien de alguien
ALABASTRINO|Blanco como el alabastro
ALACRIDAD|Alegría y presteza
ALADAR|Mechón de pelo de la sien
ALAMBIQUE|Aparato de destilar
ALARGADOR|Cable que prolonga la corriente
ALBACORA|Atún blanco
ALBARDA|Aparejo de las bestias de carga
ALBEDRIO|Libertad de decidir
ALBERCA|Depósito de agua para riego
ALBOR|Primera luz del día
ALBOROZO|Alegría muy grande
ALBUFERA|Laguna litoral
ALCACHOFAR|Plantío de alcachofas
ALCALDIA|Cargo del primer edil
ALCANTARILLADO|Red de desagües urbanos
