# Segunda vuelta de vocabulario: de la D a la L
DADIVA|Regalo generoso
DADIVOSO|Que da con largueza
DAGUERROTIPO|Primera técnica fotográfica
DALMATICA|Vestidura litúrgica del diácono
DAMAJUANA|Botellón grande forrado
DAMASCO|Tela labrada con dibujos
DAMNIFICADO|Perjudicado por un siniestro
DANZARIN|Aficionado a bailar
DARDADA|Golpe de dardo
DATAR|Poner la fecha
DEAMBULAR|Andar sin rumbo fijo
DEBACLE|Desastre total
DEBELAR|Vencer al enemigo
DEBILITAR|Quitar fuerzas
DEBUT|Primera actuación pública
DECAIMIENTO|Pérdida de fuerza y ánimo
DECALOGO|Los diez mandamientos
DECANTAR|Inclinarse por una opción
DECEPCIONAR|Defraudar lo esperado
DECIBELIO|Unidad del nivel sonoro
DECIMOTERCERO|Que ocupa el lugar trece
DECLARACION|Manifestación ante la autoridad
DECOMISAR|Incautar mercancía ilegal
DECOROSO|Conforme a la dignidad
DECREPITO|Muy viejo y acabado
DECRETAR|Ordenar por decreto
DECUPLO|Diez veces mayor
DEDUCIBLE|Que se puede restar
DEFECTUOSO|Que tiene fallos
DEFENESTRAR|Echar a alguien de su cargo
DEFICIENTE|Falto de lo necesario
DEFINITIVO|Que no admite cambios
DEFORMIDAD|Alteración de la forma natural
DEFUNCION|Fallecimiento de una persona
DEGENERACION|Pérdida progresiva de calidad
DEGLUTIR|Pasar por la garganta
DEGRADAR|Rebajar de grado
DEIFICO|Propio de la divinidad
DEJADEZ|Descuido y abandono
DEJE|Acento peculiar al hablar
DELACION|Denuncia secreta
DELECTACION|Deleite muy grato
DELEGACION|Oficina que representa a otra
DELETEREO|Mortífero y venenoso
DELIBERACION|Reflexión antes de decidir
DELICADEZA|Finura en el trato
DELICTIVO|Relativo al delito
DELINEAR|Trazar líneas de un plano
DELIRANTE|Que desvaría
DEMAGOGIA|Halago interesado al pueblo
DEMANDANTE|Quien pone la demanda
DEMENTE|Que ha perdido la razón
DEMOGRAFIA|Estudio de la población
DEMOLICION|Derribo de un edificio
DEMORAR|Retrasar algo
DEMUDAR|Cambiar el color del rostro
DENEGACION|Negativa a lo pedido
DENOMINADOR|Término inferior de la fracción
DENOSTAR|Injuriar de palabra
DENSIFICAR|Hacer más denso
DENTADO|Provisto de dientes
DENTELLAR|Dar dentelladas
DENUEDO|Valor y esfuerzo
DEPARTIR|Conversar con alguien
DEPENDENCIA|Sujeción a otra cosa
