# Segunda vuelta de vocabulario: de la S a la Z
SABANDIJA|Bicho pequeño y repugnante
SABATICO|Año de descanso del profesor
SABEDOR|Que está al corriente de algo
SABIHONDO|Que presume de saberlo todo
SABLAZO|Petición de dinero sin devolución
SABOREO|Degustación lenta
SABUESO|Perro de olfato finísimo
SACARINA|Endulzante artificial
SACERDOCIO|Ministerio del sacerdote
SACIEDAD|Hartura tras comer
SACRAMENTO|Signo sagrado de la Iglesia
SACRILEGIO|Profanación de lo sagrado
SACRISTAN|Ayudante del párroco
SACRISTIA|Sala donde se revisten los curas
SACUDIDA|Movimiento brusco
SAETAZO|Golpe de flecha
SAGACIDAD|Perspicacia y astucia
SAINETE|Pieza teatral breve y cómica
SALACIDAD|Inclinación a lo lascivo
SALARIAL|Relativo al sueldo
SALAZON|Conservación en sal
SALCHICHERIA|Tienda de embutidos
SALDAR|Pagar del todo una deuda
SALEDIZO|Parte que sobresale del muro
SALERO|Gracia y desparpajo
SALIDERO|Escape de un líquido
SALINA|Instalación donde se obtiene sal
SALITROSO|Que tiene salitre
SALMODIA|Canto monótono de salmos
SALOBRIDAD|Cualidad de lo algo salado
SALOMONICO|Columna de fuste retorcido
SALPICADERO|Panel de mandos del coche
SALPICADURA|Mancha que deja el líquido
SALPICON|Plato frío de marisco picado
SALTAMONTES|Insecto saltador del campo
SALTEADOR|Bandido de caminos
SALUBRIDAD|Buenas condiciones de salud pública
SALUTACION|Saludo ceremonioso
SALVACONDUCTO|Permiso para transitar
SALVADOR|Quien libra de un peligro
SALVAJISMO|Conducta brutal
SALVAMENTO|Rescate de náufragos
SALVEDAD|Excepción que se hace
SALVOCONDUCTO|Documento que permite el paso
SAMARITANO|Que socorre al necesitado
SANATORIO|Centro de reposo y curación
SANCIONADOR|Que impone castigos
SANDALIA|Calzado ligero de tiras
SANDEZ|Dicho necio y vacío
SANEAMIENTO|Mejora de las condiciones higiénicas
SANGRANTE|Que echa sangre o indigna
SANGUIJUELA|Anélido que chupa sangre
SANGUINARIO|Que goza derramando sangre
SANIDAD|Servicio público de la salud
SANSIROLE|Persona simple y boba
SANTIAMEN|Instante brevísimo
SANTIGUARSE|Hacerse la señal de la cruz
SANTORAL|Lista de los santos del año
SAQUEADOR|Quien roba en una ciudad tomada
SARCOFAGO|Sepulcro de piedra labrada
SARDINEL|Obra de ladrillos de canto
SARDONICO|Risa amarga y forzada
SARGENTEAR|Mandar como un sargento
SARMENTOSO|Lleno de sarmientos
SARRACENO|Musulmán de la Edad Media
SARTENAZO|Golpe dado con la sartén
SASTRERIA|Taller donde se hacen trajes
SATANICO|Propio del demonio
SATELIZAR|Poner en órbita
SATINADO|De superficie lisa y brillante
SATIRICO|Que ridiculiza con ingenio
SATISFACCION|Gusto por lo conseguido
SATURACION|Llenado hasta el límite
SAUCEDA|Terreno poblado de sauces
SAVIA|Jugo nutritivo de las plantas
SAXOFONISTA|Quien toca el saxo
SAYON|Verdugo antiguo
SAZON|Punto justo de madurez
SECANO|Tierra de cultivo sin riego
SECESION|Separación de un territorio
SECRECION|Sustancia que segrega una glándula
SECTARIO|Fanático de una doctrina
SECUACES|Seguidores de un cabecilla
SECUENCIA|Serie ordenada de cosas
SECULAR|Que dura siglos
SECUESTRADOR|Quien retiene a alguien por la fuerza
SEDIMENTO|Poso que deja un líquido
SEDOSO|Suave como la seda
SEGADORA|Máquina que corta la mies
SEGMENTO|Porción de una línea
SEGREGACION|Separación de un grupo
SEGUIDILLA|Estrofa popular cantada
SEGUIDOR|Partidario de alguien
SEGURIDAD|Ausencia de riesgo
SEISMO|Temblor de tierra
SELECCIONADOR|Quien elige a los jugadores
SELECTIVIDAD|Prueba de acceso a la universidad
SELVATICO|Propio de la selva
SEMAFORICO|Relativo a las luces del tráfico
SEMANARIO|Publicación de cada semana
SEMBLANTE|Expresión del rostro
SEMBLANZA|Retrato escrito de alguien
SEMBRADOR|Quien echa la simiente
SEMEJANZA|Parecido entre dos cosas
SEMENTERA|Tierra sembrada
SEMICIRCULO|Mitad de un círculo
SEMIFINAL|Ronda previa a la final
SEMILLERO|Lugar donde se crían plantas
SEMITA|Pueblo de origen bíblico
SEMOLA|Harina gruesa de trigo
SENADURIA|Cargo de senador
SENCILLEZ|Falta de complicación
SENDEREAR|Andar por veredas
SENECTUD|Última edad de la vida
SENSACIONAL|Que causa gran impresión
SENSATEZ|Buen juicio
SENSIBILIDAD|Capacidad de sentir
SENSITIVO|Relativo a los sentidos
SENSUALIDAD|Atracción de los sentidos
SENTENCIAR|Dictar el fallo
SENTIMENTAL|Que se conmueve con facilidad
SENALIZAR|Poner señales en la vía
SENORIAL|Propio de un señor noble
SENUELO|Reclamo que atrae
SEPARATISTA|Partidario de la independencia
SEPELIO|Entierro de un difunto
SEPTENARIO|Periodo de siete días
SEPTENTRIONAL|Del norte
SEPULTURERO|Quien cava las tumbas
SEQUEDAD|Ausencia de humedad
SEQUITO|Acompañamiento de un personaje
SERENATA|Música nocturna bajo la ventana
SERIACION|Colocación en serie
SERICULTURA|Cría del gusano de seda
SERMONEAR|Dar largas reprimendas
SEROSIDAD|Líquido claro del cuerpo
SERPENTIN|Tubo enrollado del alambique
SERRALLO|Palacio del sultán
SERRERIA|Taller donde se sierra madera
SERVICIAL|Dispuesto a ayudar
SERVIDUMBRE|Conjunto de criados
SERVILLETA|Paño de la mesa
SERVILISMO|Sumisión rastrera
SESGO|Dirección o rumbo que toma algo
SESIONAR|Celebrar sesión
SETENTON|Que anda por los setenta años
SEUDONIMO|Nombre falso del escritor
SEVERIDAD|Rigor en el trato
SEXAGENARIO|Que tiene sesenta años
SEXTETO|Grupo de seis músicos
SIBARITA|Amante del lujo y el buen vivir
SIBILINO|Misterioso y oscuro al hablar
SIDERAL|Relativo a los astros
SIDERURGICO|Relativo a la industria del hierro
SIDRERIA|Local donde se escancia sidra
SIEGA|Corte de la mies
SIEMBRA|Trabajo de sembrar
SIERVO|Esclavo de la Edad Media
SIGILOSO|Que obra con gran cautela
SIGNATURA|Marca que identifica un libro
SIGNIFICADO|Sentido de una palabra
SILABEAR|Pronunciar por sílabas
SILBATO|Instrumento que da un pitido
SILBIDO|Sonido agudo de los labios
SILENCIADOR|Pieza que amortigua el ruido
SILICIO|Elemento de los microchips
SILLERIA|Conjunto de asientos del coro
SILUETA|Contorno de una figura
SILVICULTURA|Cultivo de los bosques
SIMETRICO|De partes que se corresponden
SIMIESCO|Propio del mono
SIMILITUD|Parecido entre dos cosas
SIMPATIZAR|Sentir agrado por alguien
SIMPLEZA|Dicho o hecho de poca sustancia
SIMULACRO|Ensayo que imita la realidad
SINAGOGA|Templo de los judíos
SINCERAR|Hablar con franqueza
SINCRONIZAR|Hacer coincidir en el tiempo
SINDICAL|Relativo al sindicato
SINFONICO|Propio de la gran orquesta
SINGLADURA|Recorrido de un barco en un día
SINIESTRALIDAD|Frecuencia de los accidentes
SINSABOR|Disgusto y pesar
SINTONIA|Música que abre un programa
SINUOSO|Lleno de curvas
SIRVIENTA|Criada de la casa
SISTEMATICO|Que sigue un método
SITIADOR|Quien pone cerco a una plaza
SITUACION|Estado en que se halla algo
SOBERANIA|Poder supremo de un Estado
SOBERBIO|Orgulloso y altivo
SOBORNAR|Comprar la voluntad de alguien
SOBRANTE|Lo que queda de más
SOBRECARGA|Peso excesivo
SOBRECOGER|Impresionar profundamente
SOBRECUBIERTA|Papel que envuelve el libro
SOBREENTENDER|Comprender lo no dicho
SOBREMESA|Charla después de comer
SOBRENATURAL|Que supera las leyes naturales
SOBREPESO|Exceso de kilos
SOBREPRECIO|Recargo sobre el importe
SOBRESALIENTE|Nota más alta
SOBRESEER|Archivar una causa judicial
SOBRETODO|Abrigo largo y amplio
SOBREVENIR|Ocurrir de manera imprevista
SOBREVOLAR|Pasar volando por encima
SOBRIEDAD|Moderación y sencillez
SOCARRON|Burlón y solapado
SOCAVON|Hundimiento del terreno
SOCIABILIDAD|Facilidad para el trato
SOCIALIZAR|Poner en común
SOCIOLOGIA|Ciencia de la sociedad
SOCORRISTA|Quien vigila la piscina
SOFISMA|Razonamiento falso con apariencia de verdad
SOFISTICADO|Muy refinado y complejo
SOFOCO|Ahogo por el calor o el disgusto
SOFRENAR|Contener bruscamente
SOJUZGAMIENTO|Sometimiento por la fuerza
SOLAPADO|Que oculta sus intenciones
SOLAZ|Descanso y recreo
SOLDADESCA|Tropa indisciplinada
SOLDADURA|Unión hecha al fuego
SOLEDUMBRE|Estado de gran soledad
SOLEMNIDAD|Pompa de un acto
SOLFEO|Lectura cantada de las notas
SOLICITUD|Petición formal
SOLIDARIDAD|Apoyo a la causa de otros
SOLIDEZ|Firmeza y consistencia
SOLIDIFICAR|Pasar al estado sólido
SOLILOQUIO|Discurso de uno consigo mismo
SOLIVIANTAR|Alterar los ánimos
SOLLAMAR|Chamuscar con la llama
SOLTERON|Que sigue soltero pasada la edad
SOLTURA|Agilidad y desenvoltura
SOLVENCIA|Capacidad de pagar
SOMBRERERIA|Tienda de sombreros
SOMBRILLA|Quitasol de mano
SOMETIMIENTO|Sujeción a una autoridad
SOMNOLENCIA|Pesadez de sueño
SONAJERO|Juguete sonoro del bebé
SONDEO|Exploración del terreno o la opinión
SONORIDAD|Calidad del sonido
SONRIENTE|Que muestra una sonrisa
SONROJO|Rubor del rostro
SONSACAR|Sacar información con maña
SONADOR|Que vive de sus ilusiones
SOPAPO|Bofetada dada con la mano
SOPESAR|Calcular el peso o la importancia
SOPLAMOCOS|Golpe dado en la cara
SOPLETE|Instrumento que da llama dirigida
SOPLIDO|Soplo fuerte
SOPLON|Que delata en secreto
SOPORIFERO|Que da mucho sueño
SOPORTAL|Pórtico ante las casas
SORBETERA|Recipiente donde se hace el sorbete
SORDIDEZ|Suciedad y miseria moral
SORDINA|Pieza que apaga el sonido
SORDOMUDO|Que no oye ni habla
SORTILEGIO|Hechizo o encantamiento
SOSEGADO|Tranquilo y apacible
SOSERIA|Falta de gracia
SOSLAYAR|Esquivar una dificultad
SOSPECHOSO|Que da lugar a recelo
SOSTENIMIENTO|Mantenimiento de algo
SOTERRAMIENTO|Colocación bajo tierra
SUAVIDAD|Cualidad de lo blando al tacto
SUBALTERNO|Empleado de rango inferior
SUBASTADOR|Quien dirige una subasta
SUBCONSCIENTE|Parte oculta de la mente
SUBDITO|Sometido a la autoridad de un rey
SUBESTIMAR|Dar menos valor del debido
SUBIDON|Aumento brusco
SUBLEVACION|Alzamiento contra el poder
SUBLIMAR|Elevar a lo más alto
SUBMARINISTA|Buceador con botellas
SUBORDINADO|Que depende de un superior
SUBRAYADO|Marcado con una línea
SUBRUTINA|Parte de un programa informático
SUBSANAR|Reparar un defecto
SUBSECRETARIO|Cargo inferior al ministro
SUBSIDIO|Ayuda económica oficial
SUBSIGUIENTE|Que viene después
SUBSTANCIA|Materia de que algo consta
SUBSUELO|Capa bajo la superficie
SUBTERFUGIO|Pretexto para escapar de algo
SUBTITULO|Texto al pie de la imagen
SUBURBIO|Barrio de las afueras
SUBVENCIONAR|Dar ayuda económica
SUBVERSIVO|Que altera el orden establecido
SUBYACENTE|Que está debajo
SUBYUGAR|Dominar por completo
SUCEDANEO|Producto que sustituye a otro
SUCESOR|Quien viene después en un cargo
SUCIEDAD|Falta de limpieza
SUCULENTO|Sabroso y sustancioso
SUDADERA|Prenda deportiva de algodón
SUDARIO|Lienzo que cubre al difunto
SUDESTE|Punto entre el sur y el este
SUDOESTE|Punto entre el sur y el oeste
SUDOROSO|Cubierto de sudor
SUFICIENCIA|Capacidad bastante o presunción
SUFIJO|Partícula que va al final
SUFRAGAR|Costear un gasto
SUFRIDO|Que aguanta con paciencia
SUGESTION|Influencia sobre la mente
SUGESTIVO|Que despierta interés
SUICIDA|Quien se quita la vida
