# Más formas verbales conjugadas
ABRAZA|Rodea con los brazos
ABRIGA|Protege del frío
ACARICIA|Roza con ternura
ACAMPA|Planta la tienda de campaña
ACECHA|Vigila escondido
ACLAMA|Vitorea con entusiasmo
ACOGE|Recibe en su casa
ACOMPANA|Va junto a otro
ACONSEJA|Da una recomendación
ACORTA|Hace más corto
ACOSTA|Echa en la cama
ACTUA|Interviene en escena
ADELANTA|Deja atrás a otro
ADIVINA|Acierta lo oculto
ADMITE|Deja entrar
ADORNA|Pone adornos
ADQUIERE|Consigue o compra
ADVIERTE|Avisa de un riesgo
AFEITA|Corta la barba
AFIRMA|Sostiene que es cierto
AFLOJA|Suelta la tensión
AGRADECE|Da las gracias
AGRANDA|Hace más grande
AGRUPA|Reúne en un grupo
AGUARDA|Espera con paciencia
AHOGA|Corta la respiración
AHORCA|Cuelga del cuello
ALABA|Habla bien de alguien
ALARGA|Hace más largo
ALCANZA|Llega hasta algo
ALIMENTA|Da de comer
ALISA|Quita las arrugas
ALIVIA|Quita el dolor
ALMUERZA|Toma la comida del mediodía
ALQUILA|Cede por una renta
ALUMBRA|Da luz
ALZA|Levanta en alto
AMANECE|Sale el sol
AMARGA|Hace desagradable el sabor
AMENAZA|Anuncia un daño
AMPLIA|Hace más grande
ANALIZA|Estudia por partes
ANCLA|Echa el hierro al fondo
ANHELA|Desea con ansia
ANUDA|Hace un nudo
APARECE|Se deja ver
APARENTA|Da a entender lo que no es
APELA|Recurre la sentencia
APESTA|Huele muy mal
APLICA|Pone sobre algo
APORTA|Contribuye con algo
APRECIA|Tiene en estima
APRENDE|Adquiere conocimientos
APRESURA|Da prisa
APROVECHA|Saca partido
APUNTA|Dirige el arma
ARANA|Hiere con las uñas
ARDIO|Se consumió en llamas
ARENGA|Habla para enardecer
ARMONIZA|Pone en armonía
ARRANCA|Saca de raíz
ARRASTRA|Lleva por el suelo
ARREGLA|Compone lo roto
ARREPIENTE|Se duele de lo hecho
ARRIESGA|Pone en peligro
ARRIMA|Acerca a la pared
ARROJA|Lanza con fuerza
ASCIENDE|Sube de categoría
ASEA|Pone limpio
ASEGURA|Da por cierto
ASIENTE|Dice que sí
ASOMBRA|Deja admirado
ASPIRA|Toma aire
ASUME|Se hace cargo
ATACA|Acomete al rival
ATIENDE|Presta atención
ATRAE|Tira hacia sí
ATRAVIESA|Cruza de lado a lado
ATREVE|Se arriesga a algo
AUMENTA|Hace mayor
AUXILIA|Presta socorro
AVANZA|Va hacia delante
AVERGUENZA|Causa vergüenza
AVISA|Da la advertencia
AYUNA|Se priva de comer
BALANCEA|Mueve de un lado a otro
BARNIZA|Da brillo a la madera
BAUTIZA|Administra el bautismo
BENDICE|Da la bendición
BORDEA|Va por el borde
BOSTEZA|Abre la boca de sueño
BRAMA|Da voces el toro
BRILLA|Despide luz
BRINCA|Da saltos
BROMEA|Dice cosas en broma
BUCEA|Nada bajo el agua
CABALGA|Va montado a caballo
CADUCA|Pierde la validez
CALIFICA|Pone nota
CALMA|Pone tranquilo
CALZA|Pone los zapatos
CAMBIA|Pone una cosa por otra
CANCELA|Anula la reserva
CAPTURA|Apresa al fugitivo
CARECE|No tiene algo
CASTIGA|Impone una pena
CAUSA|Provoca un efecto
CAUTIVA|Atrae poderosamente
CEDIO|Dio paso al otro
CELEBRA|Festeja con alegría
CENSURA|Prohíbe publicar
CERCA|Rodea con una valla
CHARLA|Conversa sin formalidad
CHILLA|Da gritos agudos
CHOCA|Se da un golpe
CIRCULA|Va por la vía
CITA|Menciona a un autor
CLASIFICA|Ordena por clases
COBIJA|Da refugio
COJEA|Anda con dificultad
COLABORA|Trabaja con otros
COLECCIONA|Reúne objetos iguales
COLGO|Suspendió de un gancho
COLMA|Llena hasta el borde
COMBINA|Une en proporción
COMENTA|Da su opinión
COMPARA|Ve las diferencias
COMPARTE|Reparte con otros
COMPITE|Lucha por ganar
COMPONE|Crea una obra musical
COMPRENDE|Entiende bien
COMPRUEBA|Verifica que es cierto
COMULGA|Recibe la hostia
CONCEDE|Otorga lo pedido
CONCLUYE|Da por terminado
CONDENA|Impone la pena
CONDUCE|Lleva el volante
CONECTA|Enchufa dos partes
CONFIESA|Reconoce su culpa
CONFIRMA|Da por seguro
CONFUNDE|Toma una cosa por otra
CONGELA|Convierte en hielo
CONMUEVE|Emociona hondamente
CONQUISTA|Gana por las armas
CONSERVA|Mantiene en buen estado
CONSIDERA|Tiene en cuenta
CONSIGNA|Deja en depósito
CONSISTE|Está formado por algo
CONSPIRA|Trama contra el poder
CONSTA|Está compuesto de partes
CONSTRUYE|Levanta un edificio
CONSULTA|Pide parecer
CONSUME|Gasta un producto
CONTAGIA|Transmite la enfermedad
CONTAMINA|Ensucia el ambiente
CONTEMPLA|Mira con calma
CONTIENE|Tiene dentro
CONTRATA|Toma a su servicio
CONTRIBUYE|Aporta a un fin
CONVIENE|Resulta provechoso
CONVIERTE|Cambia en otra cosa
CONVIVE|Vive con otros
COOPERA|Obra junto a otros
CORONA|Pone la corona
CORRIGE|Enmienda los fallos
CORTEJA|Galantea a una dama
COSECHA|Recoge el fruto
COTIZA|Paga a la seguridad social
CRECIO|Aumentó de tamaño
CRUJE|Suena la madera al doblarse
CULTIVA|Trabaja la tierra
CUMPLE|Hace lo prometido
CURIOSEA|Mira por entretenimiento
CUSTODIA|Guarda con vigilancia
DEBATE|Discute un asunto
DECAE|Va a menos
DECLARA|Manifiesta ante el juez
DECORA|Adorna una estancia
DEDICA|Ofrece a alguien
DEDUCE|Saca una conclusión
DEFIENDE|Protege del ataque
DEFINE|Dice lo que algo es
DELATA|Descubre al culpable
DEMUESTRA|Prueba con hechos
DENUNCIA|Pone en conocimiento del juez
DEPENDE|Está sujeto a otro
DEPOSITA|Deja en custodia
DERRAMA|Vierte un líquido
DERRIBA|Echa abajo
DERRITE|Funde con el calor
DERROTA|Vence al contrario
DESAFIA|Reta a otro
DESANIMA|Quita las ganas
DESAPARECE|Deja de verse
DESATA|Suelta el nudo
DESAYUNA|Toma el primer alimento
DESCARGA|Quita el peso
DESCIENDE|Baja de nivel
DESCONFIA|No se fía
DESCUBRE|Halla lo oculto
DESEMBARCA|Baja del barco
DESEMPENA|Cumple una función
DESFILA|Marcha ante el público
DESGARRA|Rasga con violencia
DESHACE|Deshace lo hecho
DESLIZA|Resbala suavemente
