# Más plurales y miscelánea: números, colores, tiempo, unidades
ACEITUNEROS|Recogedores de la oliva
ACERTIJOS|Adivinanzas para pensar
ACROBATAS|Artistas de los saltos
AGUJEROS|Aberturas redondas
AHORROS|Dineros guardados
ALBANILES|Quienes levantan paredes
ALCALDES|Autoridades municipales
ALFOMBRILLAS|Tapetes pequeños
ALMACENES|Depósitos de mercancías
ALPARGATAS|Calzados de esparto
ALTAVOCES|Emiten el sonido
AMAPOLAS|Flores rojas del trigal
AMIGAS|Compañeras de confianza
ANGELES|Espíritus celestiales
ANILLOS|Sortijas de los dedos
ANTIFACES|Máscaras de los ojos
APELLIDOS|Nombres de familia
APOSTOLES|Los doce discípulos
ARANAZOS|Marcas de las uñas
ARBITROS|Quienes pitan las faltas
ARMARIOS|Muebles de la ropa
ARRUGAS|Pliegues de la piel
ARTESANOS|Quienes trabajan con las manos
ASCENSORES|Cabinas que suben y bajan
ASESINOS|Autores de crímenes
ASTRONAUTAS|Viajeros del espacio
ATAUDES|Cajas de los difuntos
AUTORES|Creadores de obras
AVELLANAS|Frutos secos redondos
AVENTURAS|Sucesos emocionantes
AZULEJOS|Piezas vidriadas
BAILARINAS|Artistas de la danza
BALLENAS|Grandes cetáceos
BANQUEROS|Directivos de la banca
BARBEROS|Quienes afeitan
BARCAS|Botes de remos
BARRENDEROS|Limpian las calles
BATERIAS|Acumuladores de energía
BIGOTES|Pelos del labio superior
BISAGRAS|Permiten girar la puerta
BOLIGRAFOS|Escriben con tinta y bolita
BOMBONES|Dulces de chocolate
BORDADOS|Labores de aguja e hilo
BOTONES|Piezas que abrochan
BRUJULAS|Señalan el norte
BUFANDAS|Prendas del cuello
CABALLEROS|Señores de buenos modales
CACEROLAS|Recipientes de dos asas
CAJONES|Compartimentos del mueble
CALCETINES|Prendas de los pies
CALDERAS|Producen agua caliente
CALLEJONES|Calles estrechas
CAMAREROS|Quienes sirven las mesas
CAMPANARIOS|Torres de las campanas
CANARIOS|Pájaros amarillos cantores
CANDILES|Lámparas de aceite
CANGURITOS|Crías del marsupial saltarín
CAPITANES|Quienes mandan los barcos
CARACOLAS|Conchas que suenan al soplar
CARAMELOS|Golosinas duras
CARBONES|Minerales negros
CARDENALES|Prelados de púrpura
CARICIAS|Roces cariñosos
CARPINTEROS|Quienes trabajan la madera
CARTEROS|Quienes reparten el correo
CASTILLOS|Fortalezas antiguas
CATEDRALES|Templos de los obispos
CEREZOS|Árboles de flor rosada
CERROJOS|Barras que cierran
CHALECOS|Prendas sin mangas
CHIMENEAS|Conductos del humo
CHINCHETAS|Clavitos de cabeza plana
CHUBASCOS|Lluvias breves y fuertes
CICATRICES|Marcas de las heridas
CIGARRILLOS|Pitillos de tabaco
CIRUELOS|Árboles de fruta morada
CIRUJANOS|Médicos que operan
CLAVELES|Flores de pétalos dentados
COCHERAS|Garajes de los autobuses
COCINEROS|Quienes preparan los platos
COLLARES|Adornos del cuello
COLMENAS|Casas de las abejas
COMEDORES|Salas donde se come
COMETAS|Astros con cola
COMPASES|Trazan circunferencias
CONCHAS|Caparazones de moluscos
CONEJERAS|Madrigueras de conejos
CORDILLERAS|Cadenas de montañas
CORDONES|Atan los zapatos
CORONELES|Jefes de regimiento
CORTAUNAS|Utensilios de arreglar las uñas
COSTUMBRES|Hábitos muy repetidos
CUADERNOS|Libretas de hojas
CUCARACHAS|Insectos nocturnos
CUCHILLAS|Hojas de afeitar
CUERVOS|Pájaros negros
CUMBRES|Puntos más altos
CURIOSIDADES|Cosas que despiertan interés
DELANTALES|Protegen la ropa al cocinar
DENTISTAS|Quienes cuidan las muelas
DESIERTOS|Terrenos secos y arenosos
DESTORNILLADORES|Herramientas de atornillar
DIADEMAS|Adornos del pelo
DIBUJANTES|Quienes hacen ilustraciones
DOMINGOS|Días de descanso semanal
DORMITORIOS|Cuartos de las camas
DRAGONES|Monstruos de fuego
DUENDES|Seres mágicos traviesos
EDIFICIOS|Construcciones de varias plantas
EJERCICIOS|Prácticas que se repiten
EMBUDOS|Ayudan a llenar la botella
EMPANADILLAS|Pastelillos fritos rellenos
ENCHUFES|Tomas de corriente
ENFERMEDADES|Alteraciones de la salud
ENSALADAS|Platos fríos de lechuga
ESCALONES|Peldaños de la escalera
ESCARABAJOS|Insectos de caparazón duro
ESCRITORES|Autores de libros
ESPEJOS|Reflejan la imagen
ESPINACAS|Verduras de hoja oscura
ESPONJAS|Absorben el agua
ESTORNUDOS|Expulsiones bruscas por la nariz
ETIQUETAS|Rótulos de los productos
FAROLES|Luces de la calle
FAVORES|Servicios que se hacen
FILOSOFOS|Quienes piensan sobre el ser
