# Femeninos, plurales de adjetivos y personas verbales
ALTA|De gran estatura, ella
BAJA|De poca estatura, ella
GORDA|De muchas carnes, ella
FLACA|De pocas carnes, ella
GUAPA|De buen ver, ella
FEA|De aspecto poco agraciado, ella
BONITA|Que resulta agradable a la vista
LINDA|Bonita y graciosa
BUENA|De buena calidad, ella
MALA|De mala calidad, ella
NUEVA|Recién estrenada
VIEJA|De muchos años, ella
JOVEN|De pocos años
LISTA|Rápida de entendimiento
TONTA|Falta de entendimiento, ella
LOCA|Que ha perdido el juicio, ella
CUERDA|De buen juicio, ella
SANA|Que goza de salud, ella
ENFERMA|Falta de salud, ella
FUERTE|De mucha fuerza
DEBIL|Falta de fuerza
RICA|De mucho dinero, ella
POBRE|Falta de recursos
LIMPIA|Sin suciedad, ella
SUCIA|Llena de manchas, ella
SECA|Sin humedad, ella
MOJADA|Empapada de agua
FRIA|De baja temperatura, ella
CALIENTE|De temperatura alta
DULCE|De sabor como el azúcar
AMARGA|De sabor como el acíbar
SALADA|Con exceso de sal
ACIDA|De sabor como el limón
BLANDA|Que cede al tacto
DURA|Que resiste el golpe
LARGA|De mucha longitud, ella
CORTA|De poca longitud, ella
ANCHA|De gran amplitud, ella
ESTRECHA|De poca anchura, ella
GRUESA|De mucho espesor, ella
FINA|Delgada y delicada
LLENA|Ocupada del todo
VACIA|Sin nada dentro
ABIERTA|Sin cerrar, ella
CERRADA|Con el cierre echado
CLARA|Que se ve con nitidez
OSCURA|Sin luz, ella
NEGRA|Del color del carbón, ella
BLANCA|Del color de la nieve, ella
ROJA|Del color de la sangre, ella
VERDE|Del color de la hierba
AMARILLA|Del color del limón, ella
MORENA|De piel tostada, ella
RUBIA|De cabello claro, ella
CANOSA|De pelo blanco, ella
CALVA|Sin pelo en la cabeza
CIEGA|Privada de la vista
SORDA|Que no oye, ella
MUDA|Que no puede hablar, ella
COJA|Que anda mal de una pierna
MANCA|Falta de un brazo, ella
ZURDA|Que usa la mano izquierda, ella
DIESTRA|Que usa la mano derecha, ella
ALEGRE|De buen humor
TRISTE|Que tiene pena
CONTENTA|Satisfecha con algo
ENFADADA|Molesta con alguien
TRANQUILA|Sin agitación, ella
NERVIOSA|Inquieta y alterada
VALIENTE|Que no teme al peligro
COBARDE|Que huye del peligro
AMABLE|De trato agradable
ANTIPATICA|Que no cae bien, ella
GENEROSA|Que da sin reservas, ella
TACANA|Que no suelta un euro, ella
HONRADA|Recta en el obrar, ella
LADRONA|Que roba, ella
SINCERA|Que dice lo que siente, ella
MENTIROSA|Que falta a la verdad, ella
TRABAJADORA|Que se emplea a fondo, ella
PEREZOSA|Enemiga del trabajo
LENTA|Que va despacio, ella
RAPIDA|Que va muy deprisa, ella
LIGERA|De poco peso, ella
PESADA|De mucho peso, ella
DULZONA|Empalagosa de dulce
PICANTE|Que pica en la lengua
SABROSA|De buen sabor, ella
SOSA|Falta de sal o de gracia
FRESCA|Algo fría y agradable
TIBIA|Ni fría ni caliente
BLANDUZCA|Algo blanda
ASPERA|Rugosa al tacto
SUAVE|Agradable al tacto
LISA|Sin asperezas
RUGOSA|Llena de arrugas
RECTA|Sin curvas
CURVA|Línea que no es recta
REDONDA|De forma circular
CUADRADA|De cuatro lados iguales
HUECA|Vacía por dentro
MACIZA|Llena y sin huecos
PROFUNDA|De mucha hondura, ella
