# Plurales de vocabulario temático
ABEDULES|Árboles de corteza blanca
ABETOS|Coníferas de la Navidad
ACACIAS|Árboles de flores en racimo
ACEBOS|Arbustos de bayas rojas
ADELFAS|Arbustos de flores rosas venenosos
ALAMOS|Árboles de ribera
ALCORNOQUES|Árboles del corcho
ALGARROBOS|Árboles de vainas dulces
ALMENDROS|Árboles de flor temprana
AVELLANOS|Arbustos de fruto seco redondo
BAOBABS|Árboles africanos de tronco enorme
CASTANOS|Árboles del erizo
CEDROS|Coníferas de madera olorosa
CEREZOS|Árboles de flor rosada
CIPRESES|Coníferas altas y estrechas
ENCINAS|Árboles de la bellota
EUCALIPTOS|Árboles de hoja balsámica
FRESNOS|Árboles de madera flexible
HAYAS|Árboles de tronco liso
HIGUERAS|Árboles del higo
MADRONOS|Arbustos de frutos rojos rugosos
MANZANOS|Árboles de la fruta del paraíso
NOGALES|Árboles de la nuez
OLIVOS|Árboles de la aceituna
OLMOS|Árboles de sombra de las plazas
PALMERAS|Árboles de los dátiles
PERALES|Árboles de fruta alargada
PINOS|Árboles de las piñas
ROBLES|Árboles de madera dura
SAUCES|Árboles de ramas colgantes
TILOS|Árboles de la infusión relajante
ALHELIES|Flores de aroma intenso
AMAPOLAS|Flores rojas de los trigales
AZUCENAS|Flores blancas de tallo alto
CAMELIAS|Flores japonesas de pétalos apretados
CLAVELES|Flores de pétalos dentados
CRISANTEMOS|Flores de noviembre
DALIAS|Flores de muchos pétalos
GARDENIAS|Flores blancas muy perfumadas
GERANIOS|Flores de balcón
GLADIOLOS|Flores de espiga alta
HORTENSIAS|Arbustos de flores en bola
JACINTOS|Flores bulbosas muy olorosas
JAZMINES|Trepadoras de flor olorosa
LILAS|Arbustos de flores moradas
LIRIOS|Flores de tres pétalos
MARGARITAS|Flores blancas de los prados
NARCISOS|Flores amarillas de bulbo
ORQUIDEAS|Flores exóticas muy apreciadas
PETUNIAS|Plantas de flor en trompeta
TULIPANES|Flores de bulbo holandesas
VIOLETAS|Flores moradas y menudas
ACELGAS|Verduras de penca blanca
ALCACHOFAS|Hortalizas de hojas carnosas
BERENJENAS|Hortalizas moradas
BONIATOS|Tubérculos dulces
CALABACINES|Hortalizas verdes y alargadas
CALABAZAS|Hortalizas grandes y naranjas
CEBOLLAS|Bulbos que hacen llorar
COLIFLORES|Verduras blancas en ramilletes
ESPARRAGOS|Brotes comestibles
ESPINACAS|Verduras de hoja oscura
GARBANZOS|Legumbres del cocido
GUISANTES|Legumbres verdes y redondas
JUDIAS|Legumbres de vaina
LECHUGAS|Verduras de la ensalada
LENTEJAS|Legumbres pequeñas y planas
NABOS|Raíces blancas de guiso
PEPINOS|Hortalizas verdes y refrescantes
PIMIENTOS|Hortalizas huecas
PUERROS|Hortalizas blancas y alargadas
REMOLACHAS|Raíces rojas y dulces
REPOLLOS|Coles de hojas apretadas
ZANAHORIAS|Raíces naranjas y dulces
ALBARICOQUES|Frutas naranjas de hueso
ARANDANOS|Bayas azuladas del bosque
CEREZAS|Frutas rojas con rabito
CIRUELAS|Frutas moradas y jugosas
DATILES|Frutos dulces de la palmera
FRAMBUESAS|Frutas rojas del bosque
FRESAS|Frutas rojas de primavera
GRANADAS|Frutas de granos rojos
HIGOS|Frutos dulces del verano
KIWIS|Frutas verdes de piel peluda
LIMONES|Cítricos amarillos y ácidos
MANDARINAS|Cítricos pequeños y fáciles de pelar
MANGOS|Frutas tropicales anaranjadas
MELOCOTONES|Frutas de piel aterciopelada
MEMBRILLOS|Frutas del dulce de otoño
MORAS|Frutos negros de la zarza
NARANJAS|Cítricos de gajos
NISPEROS|Frutas naranjas de primavera
PAPAYAS|Frutas tropicales de pulpa naranja
PERAS|Frutas de cuello estrecho
PINAS|Frutas tropicales con corona
PLATANOS|Frutas amarillas y curvas
POMELOS|Cítricos grandes y amargos
SANDIAS|Frutas de pulpa roja
ALMENDRAS|Frutos secos del turrón
AVELLANAS|Frutos secos redondos
CACAHUETES|Frutos secos de cáscara blanda
CASTANAS|Frutos del erizo de otoño
NUECES|Frutos secos de dos mitades
PINONES|Semillas comestibles del pino
PISTACHOS|Frutos secos verdes
ANCHOAS|Boquerones curados en salazón
BERBERECHOS|Bivalvos de concha estriada
BOGAVANTES|Crustáceos azulados de pinzas
BOQUERONES|Pescados pequeños en vinagre
CALAMARES|Moluscos de diez brazos
CAMARONES|Crustáceos pequeños de mar
CANGREJOS|Crustáceos de pinzas
CHIPIRONES|Calamares pequeños
CIGALAS|Crustáceos de pinzas largas
DORADAS|Peces de mancha dorada
GAMBAS|Crustáceos rosados
LANGOSTINOS|Crustáceos grandes y sabrosos
LENGUADOS|Peces planos y alargados
LUBINAS|Peces blancos muy finos
MERLUZAS|Pescados blancos de mesa
NAVAJAS|Moluscos alargados de la arena
OSTRAS|Bivalvos que se comen crudos
PERCEBES|Mariscos de las rocas
PULPOS|Moluscos de ocho brazos
SALMONETES|Peces rojizos de barbillas
SEPIAS|Moluscos de hueso blanco
TRUCHAS|Peces de río de carne rosada
VIEIRAS|Conchas del peregrino
AGUILAS|Rapaces de vista penetrante
ALONDRAS|Aves de canto matinal
AVESTRUCES|Aves corredoras que no vuelan
BUITRES|Carroñeros de cabeza pelada
CANARIOS|Pájaros amarillos cantores
CIGUENAS|Aves de pico largo y rojo
CISNES|Aves blancas de cuello largo
CODORNICES|Aves menudas de caza
CORMORANES|Aves marinas buceadoras
CUERVOS|Pájaros negros de mal agüero
FAISANES|Aves de vistosa cola
GARZAS|Zancudas de cuello en ese
GAVIOTAS|Aves blancas del puerto
