# Cocina, casa, prendas y oficios cotidianos
ABADEJO|Bacalao curado
ABANICO|Se abre para darse aire
ABREBOTELLAS|Utensilio que quita las chapas
ACEITERA|Vasija que guarda el aceite
ADEREZO|Lo que sazona la ensalada
AGUAMANIL|Jarro para lavarse las manos
AJILLO|Salsa de ajo y aceite
ALACENA|Armario hecho en la pared
ALBAHACA|Hierba de aroma fuerte
ALBARDILLA|Remate que cubre el muro
ALFOMBRA|Tejido que cubre el suelo
ALIOLI|Salsa de ajo y aceite emulsionada
ALJOFAINA|Palangana honda
ALMIREZ|Mortero de metal
ALMOHADON|Cojín grande
ALPARGATA|Calzado de esparto
ALZAPANO|Lazo que recoge la cortina
AMASADERA|Artesa donde se amasa
ANAFE|Hornillo portátil
ANDULLO|Hoja de tabaco enrollada
APARADOR|Mueble donde se guarda la vajilla
ARANDELA|Anilla plana bajo la tuerca
ARMARIO|Mueble con puertas y baldas
AZAFATE|Bandeja de borde bajo
AZUCARERO|Recipiente del azúcar
BACALADA|Pieza entera de bacalao seco
BADIL|Paleta para mover la lumbre
BALDOSA|Pieza plana que cubre el suelo
BANQUETA|Asiento bajo sin respaldo
BARNIZ|Capa brillante que protege la madera
BATIDORA|Aparato que bate y tritura
BAYETA|Paño para limpiar
BESAMEL|Salsa blanca de harina y leche
BISAGRA|Herraje sobre el que gira la puerta
BIZCOCHO|Masa esponjosa y dulce
BOMBONERA|Cajita para los bombones
BORDADO|Labor de aguja sobre la tela
BOTIJO|Vasija de barro con pitorro
BOTONADURA|Juego de botones de una prenda
BRASERO|Recipiente con brasas para calentar
BROCHE|Cierre de adorno de la ropa
BRUNIDOR|Herramienta que saca brillo
BUFANDA|Prenda que abriga el cuello
BURETE|Tubo graduado del laboratorio
CACEROLA|Vasija ancha con dos asas
CAFETERA|Aparato que hace el café
CALADOR|Aguja que cala el queso o el jamón
CALDERO|Vasija honda de metal
CANDADO|Cerradura suelta con arco
CANDELABRO|Soporte de varias velas
