# Formas verbales en pasado (imperfecto e indefinido), definidas por sinónimo
ABRIERON|Destaparon lo cerrado
ACABABA|Terminaba la tarea
ACABARON|Dieron fin a la obra
ACERCABA|Aproximaba una cosa a otra
ACERTARON|Dieron en el blanco
ACUDIAN|Iban al lugar llamados
ADORABAN|Veneraban a su dios
AGUARDABA|Esperaba con paciencia
ALABARON|Ensalzaron sus méritos
ALCANZABA|Llegaba hasta el sitio
ALCANZARON|Dieron con lo que perseguían
ALZABAN|Levantaban en alto
AMABAN|Querían con pasión
AMARON|Quisieron de corazón
ANDABAN|Caminaban sin prisa
ANUNCIABA|Daba la noticia
APAGARON|Extinguieron la lumbre
APRETABA|Oprimía con fuerza
ARDIERON|Se consumieron en llamas
ARRIMABA|Acercaba a la pared
ASOMABAN|Dejaban ver un poco
ATABAN|Sujetaban con cuerda
AVISARON|Dieron el aviso
AYUDABAN|Prestaban su auxilio
BAILABAN|Danzaban al son de la música
BAJABAN|Descendían la cuesta
BASTABA|Era suficiente
BEBIAN|Tomaban el líquido
BESABAN|Daban besos
BORRABA|Hacía desaparecer lo escrito
BRILLABAN|Relucían al sol
BUSCABAN|Trataban de encontrar
CALLABAN|Guardaban silencio
CAMBIARON|Mudaron de parecer
CAMINABA|Andaba por la senda
CANTABAN|Entonaban una copla
CARGABAN|Ponían el peso encima
CAZABAN|Perseguían la pieza
CEDIERON|Dieron su brazo a torcer
CERRABAN|Tapaban la entrada
COBRABA|Percibía el jornal
COGIERON|Tomaron con la mano
COMENZARON|Dieron principio
COMIAN|Tomaban alimento
COMPRABAN|Adquirían por dinero
CONTABAN|Referían el suceso
CORRIAN|Iban a la carrera
CORTARON|Partieron con el filo
CREABAN|Daban vida a la obra
CRECIAN|Se hacían mayores
CREIAN|Tenían por cierto
CRUZABAN|Pasaban de un lado a otro
CUIDABAN|Velaban por su salud
CUMPLIERON|Llevaron a término lo prometido
DABAN|Entregaban de balde
DEBIAN|Tenían la obligación
DECIAN|Manifestaban de palabra
DEJABAN|Soltaban lo que tenían
