# Formas verbales en futuro, condicional y subjuntivo, definidas por sinónimo
ABRIREMOS|Destaparemos lo cerrado
ACABAREMOS|Daremos fin a la faena
ACUDIRA|Irá al lugar llamado
ALZAREMOS|Levantaremos en alto
AMAREMOS|Querremos de corazón
ANDAREMOS|Caminaremos sin prisa
APRENDERA|Llegará a saberlo
BAILAREMOS|Danzaremos al son
BAJAREMOS|Descenderemos la cuesta
BEBEREMOS|Tomaremos el líquido
BUSCAREMOS|Trataremos de encontrar
CABREMOS|Tendremos sitio dentro
CALLAREMOS|Guardaremos silencio
CAMBIARA|Mudará de parecer
CANTAREMOS|Entonaremos una copla
CERRAREMOS|Taparemos la entrada
COMEREMOS|Tomaremos alimento
COMPRARA|Adquirirá por dinero
CONTAREMOS|Referiremos el suceso
CORRERA|Irá a la carrera
CREEREMOS|Tendremos por cierto
CRUZAREMOS|Pasaremos al otro lado
CUIDAREMOS|Velaremos por su salud
DAREMOS|Entregaremos de balde
DEBEREMOS|Tendremos la obligación
DEJAREMOS|Soltaremos lo que llevamos
DIREMOS|Manifestaremos de palabra
DIRIA|Manifestaría de palabra
DIRIAN|Manifestarían su parecer
DORMIREMOS|Reposaremos en el lecho
DURARA|Se mantendrá en el tiempo
ECHAREMOS|Arrojaremos fuera
EMPEZAREMOS|Daremos comienzo
ENTRAREMOS|Pasaremos adentro
ENVIAREMOS|Mandaremos el paquete
ESCRIBIREMOS|Pondremos por escrito
ESPERAREMOS|Aguardaremos la hora
ESTAREMOS|Nos hallaremos allí
GANAREMOS|Saldremos vencedores
GUARDAREMOS|Pondremos a recaudo
HABLAREMOS|Usaremos la palabra
HARA|Llevará a cabo la obra
HARAN|Ejecutarán el trabajo
HAREMOS|Ejecutaremos la obra
HARIA|Llevaría a cabo la obra
HARIAN|Ejecutarían el trabajo
IREMOS|Nos dirigiremos allá
IRIA|Se encaminaría al lugar
IRIAN|Se encaminarían al lugar
JUGAREMOS|Nos entretendremos con el juego
LEEREMOS|Recorreremos el escrito
LEVANTARA|Pondrá en alto
LIMPIAREMOS|Quitaremos la suciedad
LLAMAREMOS|Daremos voces al ausente
LLEGAREMOS|Arribaremos al destino
LLEVAREMOS|Trasladaremos la carga
LOGRAREMOS|Conseguiremos el intento
MEDIREMOS|Tomaremos la medida
MIRAREMOS|Fijaremos la vista
PAGAREMOS|Satisfaremos la deuda
PARTIREMOS|Nos pondremos en camino
